Position,NDCG
1,3.17
2,3.1467888315659276
3,3.12877114904091
4,3.0701331150302154
5,3.028130024858408
6,2.9841380345428528
7,2.9489412164535054
8,2.9202996677155535
9,2.8962215058532093
10,2.8741946207594
11,2.854285732024266
12,2.837078026508275
13,2.8215272642576066
14,2.806861005185632
15,2.7937726761319044
16,2.782002014215952
17,2.7705891549515957
18,2.7584063493554556
19,2.746233692304906
20,2.73471370344631
21,2.724072945068113
22,2.7142070728907344
23,2.7050282203395226
24,2.6964618018884523
25,2.688182419145068
26,2.6801608040673557
27,2.672614921591053
28,2.665500626031583
29,2.658551811627404
30,2.6517537599531567
31,2.6450934798453463
32,2.6387668247437763
33,2.6327475758567553
34,2.626816378447945
35,2.621157094289976
36,2.6155644408209424
37,2.6096714869658797
38,2.6040276590501263
39,2.5982717696707622
40,2.5925789506858976
41,2.586945018626388
42,2.581366153541707
43,2.575996168492356
44,2.5708227629798737
45,2.5656838376189257
46,2.560725020625518
47,2.5559363811067914
48,2.5511667503070568
49,2.5465542705818796
50,2.542090794551061
51,2.537768747871367
52,2.5334492951117227
53,2.529132199193341
54,2.5248172413731864
55,2.520629300995659
56,2.51643949198332
57,2.512368799449277
58,2.508411894015404
59,2.504563770245644
60,2.5008197218871486
61,2.4970617227943936
62,2.493290280372492
63,2.4896161139413557
64,2.4859266387467107
65,2.48232947940726
66,2.478821001374186
67,2.4751895519094256
68,2.4716450717716723
69,2.468184283996215
70,2.4647041280161104
71,2.461303899014088
72,2.457883341781089
73,2.454539254750415
74,2.451174030494129
75,2.4478820938693593
76,2.444660934479774
77,2.4414166842509486
78,2.4382404524962538
79,2.4350406772991917
80,2.4319063630892708
81,2.4288354039667572
82,2.425825786249092
83,2.4227902744451204
84,2.4197296341264005
85,2.4167280393998736
86,2.4137836994743456
87,2.4108948975031077
88,2.4079791958510697
89,2.405117295911506
90,2.402307637268069
91,2.399548721127234
92,2.3967615897589605
93,2.394023746917949
94,2.391333822880024
95,2.388690499755651
96,2.3860925090137
97,2.383391045493069
98,2.3807349972476874
99,2.378123164814182
100,2.3755543918724804
101,2.372956495999771
102,2.370330199811203
103,2.3677459824300726
104,2.3651336286092057
105,2.362562359753322
106,2.360031161127335
107,2.357539052131475
108,2.3550850848509035
109,2.352602145996383
110,2.350156540991194
111,2.34774738849692
112,2.345373835514014
113,2.343035056230654
114,2.340666763800135
115,2.3383325851761185
116,2.3359692828097365
117,2.3336394603690684
118,2.331219416072746
119,2.3288330991046937
120,2.3264797718333035
121,2.3240986623343085
122,2.3217499494711302
123,2.3194329416473654
124,2.3171469673771514
125,2.314891374546152
126,2.3126076992370765
127,2.3103539133618662
128,2.308072416259703
129,2.3057637584342277
130,2.3034846437677867
131,2.3011787110381143
132,2.2989018550035234
133,2.296653500675528
134,2.2944330885533333
135,2.2922400740965294
136,2.2900200751292057
137,2.2878270827434863
138,2.2856605818324796
139,2.2835200706716083
140,2.2813002324744587
141,2.2790545925602115
142,2.2768353423879133
143,2.274641995842966
144,2.272423026194484
145,2.27022961211533
146,2.2680612923219607
147,2.265917616871532
148,2.263798146809411
149,2.2617024538299066
150,2.2595809778623512
151,2.2574829972677173
152,2.2554081043309364
153,2.2533559009731152
154,2.2513259984635923
155,2.2493180171423663
156,2.247331586152488
157,2.2453192524983203
158,2.243328252066998
159,2.2413582306086006
160,2.2394088418847384
161,2.2374337518796894
162,2.235479101247138
163,2.2335445587256686
164,2.2316298003654813
165,2.2297345093243277
166,2.2278583756703236
167,2.225956648608473
168,2.2240739231548834
169,2.2222099020426294
170,2.22032058130101
171,2.2184498185707335
172,2.216554091437655
173,2.2146767775003355
174,2.212817596790701
175,2.210976275137469
176,2.2091102277378503
177,2.207261909892458
178,2.2054310579499163
179,2.203617413597684
180,2.201779288814845
181,2.199958255751747
182,2.1981540657025183
183,2.196366474889108
184,2.194595244337813
185,2.192799754950886
186,2.19102052758778
187,2.189257331800355
188,2.1875099415870003
189,2.185738552039532
190,2.183982880197505
191,2.1822427078852202
192,2.1805178210503846
193,2.1787691959943936
194,2.1770357778326788
195,2.175317359711656
196,2.173613738608649
197,2.171924715242164
198,2.170250093984696
199,2.1685519675968057
200,2.166868181177305
201,2.1651985453557927
202,2.163542874166476
203,2.1619009849707576
204,2.1602726983819496
205,2.1586578381920467
206,2.157019719770269
207,2.155394982840478
208,2.1537834565017935
209,2.1521849728246325
210,2.1505993667853707
211,2.1490264762027476
212,2.147430600891702
213,2.145847407384688
214,2.144276738154296
215,2.1427184383367095
216,2.141172355674739
217,2.139638340462338
218,2.1380816239657157
219,2.136536950789738
220,2.135004175324526
221,2.1334489744307605
222,2.131905648145114
223,2.130374054784429
224,2.1288203052466836
225,2.127278266498839
226,2.1257478006243518
227,2.124228771917389
228,2.122721046838013
229,2.1211914371251743
230,2.1196731142061123
231,2.1181659479685893
232,2.116669810341774
233,2.1151845752557366
234,2.1137101186019103
235,2.112246318194497
236,2.1107609193758465
237,2.1092861684005006
238,2.107821946049338
239,2.1063681349198604
240,2.1049246193911806
241,2.1034912855898336
242,2.1020680213563705
243,2.1006547162127305
244,2.0992512613303633
245,2.0978265265070197
246,2.0964116436345126
247,2.095006506332363
248,2.093611009783236
249,2.0922250507038864
250,2.090818088415053
251,2.0894206679512886
252,2.088032688277938
253,2.08665404981609
254,2.085254666826965
255,2.0838646304430424
256,2.082483843207381
257,2.081112209045752
258,2.079749633241822
259,2.0783960224128855
260,2.077021948761956
261,2.0756568488105986
262,2.074300631083577
263,2.0729532053743864
264,2.071614482723001
265,2.070284375394089
266,2.06896279685569
267,2.0676496617583386
268,2.0663163755506413
269,2.0649915463928017
270,2.0636750905718424
271,2.062366925502162
272,2.0610669697063324
273,2.059775142796296
274,2.05849136545494
275,2.0572155594180583
276,2.0559199162927744
277,2.0546322620205046
278,2.05335251974616
279,2.052080613620496
280,2.0507891111146974
281,2.0495054623753046
282,2.048229592893737
283,2.046961429123002
284,2.045700898461999
285,2.044447929240135
286,2.04320245070224
287,2.041937664773617
288,2.040680389424135
289,2.039430555087204
290,2.038188093072736
291,2.0369529355531824
292,2.0357250155498363
293,2.0345042669193982
294,2.0332644966458537
295,2.0320319195049596
296,2.0307805092609854
297,2.0295363124228887
298,2.0282992641483157
299,2.027069300387722
300,2.0258463578721146
301,2.02463037410102
302,2.0234212873306805
303,2.0222190365624666
304,2.0210235615315066
305,2.0198348026955233
306,2.0186275412854293
307,2.0174270195685304
308,2.0162331788828456
309,2.015045961260822
310,2.0138653094189367
311,2.0126911667474925
312,2.0115234773005906
313,2.010362185786291
314,2.0091826831122144
315,2.0080096034214954
316,2.006842892191723
317,2.005658160540731
318,2.0044798214922173
319,2.003307821280232
320,2.002142106753789
321,2.000982625367969
322,1.9998293251751826
323,1.9986821548165838
324,1.9975410635136293
325,1.9964060010597897
326,1.9952769178124001
327,1.994130133132483
328,1.9929893537839922
329,1.991854530758447
330,1.9907256155912183
331,1.9896025603538992
332,1.9884620224686789
333,1.9873273704526209
334,1.9861985569747485
335,1.9850755352216185
336,1.9839582588901654
337,1.9828237137388809
338,1.9816949397410877
339,1.9805718911571188
340,1.979454522740212
341,1.9783427897297945
342,1.977236647844875
343,1.976136053277548
344,1.9750409626866
345,1.973951333191226
346,1.9728671223648415
347,1.971765945971974
348,1.9706702152224338
349,1.9695798881650268
350,1.9684949232879405
351,1.9674152795129294
352,1.9663409161895866
353,1.9652717930897092
354,1.9641859461378035
355,1.9631053665504925
356,1.9620300145297063
357,1.9609598506861794
358,1.9598948360341362
359,1.9588349319860656
360,1.957780100347576
361,1.956730303312334
362,1.955664037773756
363,1.9546028342773134
364,1.9535466553978058
365,1.9524954640861776
366,1.9514279800087528
367,1.950365510299816
368,1.9493080182804259
369,1.9482554676363604
370,1.9472078224135285
371,1.9461650470134586
372,1.9451271061888473
373,1.9440939650391822
374,1.943065589006425
375,1.9420419438707643
376,1.9410229957464298
377,1.9400087110775677
378,1.938978451807765
379,1.937952883676431
380,1.9369319734282422
381,1.9359156881283146
382,1.9349039951582991
383,1.9338968622125352
384,1.9328739574099139
385,1.9318556399811362
386,1.9308418779005276
387,1.9298326394463035
388,1.9288278931969216
389,1.9278276080274876
390,1.9268317531062187
391,1.9258402978909483
392,1.9248333047932393
393,1.9238307386899747
394,1.9228325692885457
395,1.9218387665780674
396,1.9208493008260623
397,1.9198641425751974
398,1.9188832626400654
399,1.9179066321040086
400,1.9169146923534393
401,1.9159270291621264
402,1.9149436138361229
403,1.9139644179431305
404,1.912989413309482
405,1.9120185720171674
406,1.9110326100293218
407,1.9100508381369037
408,1.9090732286302545
409,1.9080997540487448
410,1.9071303871779466
411,1.9061651010468401
412,1.9052038689250654
413,1.9042466643202025
414,1.903293460975097
415,1.902344232865218
416,1.9013989541960512
417,1.9004575994005315
418,1.8995014111547104
419,1.8985491737180382
420,1.8976008616931728
421,1.8966564499046272
422,1.8957159133963164
423,1.8947792274291446
424,1.893846367478615
425,1.8929173092324814
426,1.8919920285884213
427,1.891070501651747
428,1.8901527047331441
429,1.8892386143464395
430,1.8883282072063974
431,1.887403264447809
432,1.8864820319490205
433,1.8855644865592558
434,1.8846506053240173
435,1.8837403654829763
436,1.882833744467901
437,1.8819127611900521
438,1.8809954232521118
439,1.8800817082123378
440,1.8791715938167026
441,1.878265057996907
442,1.8773620788684229
443,1.876462634728555
444,1.8755667040545334
445,1.8746742655016297
446,1.87378529790129
447,1.8728997802593013
448,1.8720001517084235
449,1.8711039994198884
450,1.8702113025044227
451,1.8693220402432924
452,1.8684361920865418
453,1.8675537376512579
454,1.8666746567198518
455,1.865798929238364
456,1.864926535314791
457,1.8640574552174314
458,1.8631916693732522
459,1.8623291583662773
460,1.8614527975098796
461,1.8605797375528188
462,1.8597099591634776
463,1.8588434431640404
464,1.8579801705289478
465,1.8571201223833669
466,1.8562632800016823
467,1.8553927629234743
468,1.8545254771906743
469,1.8536614041552322
470,1.8528005253152886
471,1.8519428223137278
472,1.8510882769367445
473,1.8502368711124313
474,1.8493885869093798
475,1.8485434065353001
476,1.8477013123356592
477,1.8468622867923272
478,1.84602631252225
479,1.8451769118624037
480,1.8443305877292462
481,1.84348732280144
482,1.8426470998901152
483,1.8418099019375898
484,1.8409757120161019
485,1.8401445133265595
486,1.8393000541088629
487,1.8384586108898702
488,1.8376201669272625
489,1.8367847056049575
490,1.8359522104319095
491,1.8351226650409147
492,1.8342960531874413
493,1.833472358748463
494,1.832651565721314
495,1.83181770377018
496,1.830986767560909
497,1.8301587411399027
498,1.8293336086717182
499,1.8285113544379588
500,1.8276919628361818
501,1.826875418378818
502,1.8260617056921014
503,1.825250809515012
504,1.8244427146982314
505,1.8236374062031109
506,1.8228348691006457
507,1.822019493286716
