iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
36,21059.867493161342,0.0,21059.867493160204,21059.867493160204,"[-0.00624984 -0.01925747  0.00306562  0.00970829  0.00625515  0.01000741
  0.00803016  0.00100537]"
37,21059.83839712911,0.0,21059.83839712133,21059.83839712133,"[-0.00665351 -0.01961104  0.00306564  0.0097083   0.00625516  0.01000742
  0.00803016  0.00100538]"
38,21059.80970447811,0.0003264171828376145,21386.22688731617,21059.809704478557,"[-0.00277251 -0.02364437  0.00337889  0.01002157  0.00656844  0.0103207
  0.00834345  0.00131866]"
39,21059.841828129596,0.0,21059.84182811891,21059.84182811891,"[-0.00320195 -0.02393553  0.0033789   0.01002158  0.00656844  0.0103207
  0.00834345  0.00131867]"
40,21059.814989937262,0.0,21059.81498992694,21059.81498992694,"[-0.00362963 -0.02422369  0.00337892  0.01002159  0.00656845  0.01032071
  0.00834346  0.00131867]"
41,21059.788475251025,0.0,21059.78847524476,21059.78847524476,"[-0.00405557 -0.02450888  0.00337894  0.0100216   0.00656845  0.01032071
  0.00834346  0.00131867]"
42,21059.76227928424,0.0,21059.76227927728,21059.76227927728,"[-0.00447975 -0.02479112  0.00337895  0.0100216   0.00656846  0.01032072
  0.00834346  0.00131868]"
43,21059.73639733991,0.0,21059.73639734291,21059.73639734291,"[-0.0049022  -0.02507047  0.00337897  0.01002161  0.00656846  0.01032072
  0.00834347  0.00131868]"
44,21059.7108248086,0.0,21059.71082480605,21059.71082480605,"[-0.00532291 -0.02534694  0.00337899  0.01002162  0.00656847  0.01032073
  0.00834347  0.00131868]"
45,21059.685557166657,0.0,21059.68555717537,21059.68555717537,"[-0.00574188 -0.02562058  0.003379    0.01002163  0.00656848  0.01032073
  0.00834348  0.00131869]"
46,21059.660589974083,0.0,21059.66058996737,21059.66058996737,"[-0.00615912 -0.02589142  0.00337902  0.01002164  0.00656848  0.01032074
  0.00834348  0.00131869]"
47,21059.635918872853,0.0,21059.63591887454,21059.63591887454,"[-0.00657464 -0.02615949  0.00337904  0.01002165  0.00656849  0.01032074
  0.00834348  0.00131869]"
48,21059.611539585,0.0,21059.61153958284,21059.61153958284,"[-0.00698844 -0.02642483  0.00337905  0.01002165  0.00656849  0.01032074
  0.00834349  0.00131869]"
49,21059.58744791088,0.0,21059.587447913065,21059.587447913065,"[-0.00740052 -0.02668746  0.00337907  0.01002166  0.0065685   0.01032075
  0.00834349  0.0013187 ]"
50,21059.56363972743,0.0,21059.563639735796,21059.563639735796,"[-0.00781089 -0.02694742  0.00337908  0.01002167  0.0065685   0.01032075
  0.0083435   0.0013187 ]"
51,21059.540110986472,0.0,21059.540110981354,21059.540110981354,"[-0.00821955 -0.02720474  0.0033791   0.01002168  0.00656851  0.01032076
  0.0083435   0.0013187 ]"
52,21059.516857713093,0.0,21059.51685770993,21059.51685770993,"[-0.0086265  -0.02745945  0.00337912  0.01002169  0.00656852  0.01032076
  0.00834351  0.00131871]"
53,21059.493876004068,0.0,21059.493876004486,21059.493876004486,"[-0.00903176 -0.02771158  0.00337913  0.0100217   0.00656852  0.01032077
  0.00834351  0.00131871]"
