Inference Service,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
G-TRUTH,0.833,0.979,0.994,0.998,0.998
GAPI,0.849,0.983,0.994,1.007,1.007
BTN,0.856,0.987,0.994,1.015,1.015
NMSOR,0.9,1.009,0.994,1.027,1.027
