Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.5033260543163685,0.4815804259975326,0.431708277610021,0.4314626001520267,0.4314659828830954
GAPI,0.4994488694925955,0.4954449834040876,0.4385045575121172,0.4314361484392942,0.431439787910836
NMSOR,0.5066661829365344,0.4686952800003306,0.4530166245225022,0.4273394469785825,0.4273344600481265
bostonmarathon.csv,,,,0.4298388226545562,0.4298406082438532
BTN,,,,0.4314626001520267,
GAPI,,,,0.4314361484392942,
NMSOR,,,,0.4273394469785825,
bostonmarathon.csv,,,,0.4298388226545562,
BTN,,,0.431708277610021,,
GAPI,,,0.4385045575121172,,
NMSOR,,,0.4530166245225022,,
bostonmarathon,,,0.4369110694656052,,
BTN,,0.4815804259975326,,,
GAPI,,0.4954449834040876,,,
NMSOR,,0.4686952800003306,,,
BTN,0.5033260543163685,,,,
GAPI,0.4994488694925955,,,,
NMSOR,0.5066661829365344,,,,
