Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.475957843849219,0.4706701195483024,0.4352086614482217,0.4208996363537391,0.4208911071387456
GAPI,0.4937873274108273,0.4669725653563739,0.4336670715320176,0.4208910796456379,0.4208817039546224
NMSOR,0.4973535492253567,0.4469765715496077,0.4334484627858772,0.417912252178004,0.417908168461986
bostonmarathon.csv,,,,0.4260745136913492,0.4260520790109273
BTN,,,,0.4208996363537391,
GAPI,,,,0.4208910796456379,
NMSOR,,,,0.417912252178004,
bostonmarathon.csv,,,,0.4260745136913492,
BTN,,,0.4352086614482217,,
GAPI,,,0.4336670715320176,,
NMSOR,,,0.4334484627858772,,
bostonmarathon,,,0.4337792770256601,,
BTN,,0.4706701195483024,,,
GAPI,,0.4669725653563739,,,
NMSOR,,0.4469765715496077,,,
BTN,0.475957843849219,,,,
GAPI,0.4937873274108273,,,,
NMSOR,0.4973535492253567,,,,
