Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.6685381124656613,0.6781109983697716,0.64402460344402,0.6786264562064207,0.6786264562064207
GAPI,0.6765812919072249,0.6442331275376213,0.6320526869780585,0.6756741346391334,0.6756741346391334
NMSOR,0.662377291722461,0.6291218143420374,0.64960582665791,0.682692466381334,0.682692466381334
COMPASSEX.csv,,,,0.6740871859854097,0.6740871859854097
COMPASSEX,,,0.68554428224973,,nan
BTN,,,,0.6786264562064207,
GAPI,,,,0.6756741346391334,
NMSOR,,,,0.682692466381334,
COMPASSEX.csv,,,,0.6740871859854097,
BTN,,,0.64402460344402,,
GAPI,,,0.6320526869780585,,
NMSOR,,,0.64960582665791,,
COMPASSEX,,,0.68554428224973,,
BTN,0.6685381124656613,,,,
GAPI,0.6765812919072249,,,,
NMSOR,0.662377291722461,,,,
BTN,,0.6781109983697716,,,
GAPI,,0.6442331275376213,,,
NMSOR,,0.6291218143420374,,,
