Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.5049136294955764,0.5049136294955764,0.4337774450687057,0.414611579198663,0.414611579198663
GAPI,0.492286847486185,0.492286847486185,0.4254928727390103,0.414611579198663,0.414611579198663
NMSOR,0.5245758512078009,0.5245758512078009,0.4653471631035713,0.414611579198663,0.414611579198663
bostonmarathon.csv,,,,0.414611579198663,0.414611579198663
BTN,,,,0.414611579198663,
GAPI,,,,0.414611579198663,
NMSOR,,,,0.414611579198663,
bostonmarathon.csv,,,,0.414611579198663,
BTN,,,0.4337774450687057,,
GAPI,,,0.4254928727390103,,
NMSOR,,,0.4653471631035713,,
bostonmarathon,,,0.4251079405671941,,
BTN,,0.5049136294955764,,,
GAPI,,0.492286847486185,,,
NMSOR,,0.5245758512078009,,,
BTN,0.5049136294955764,,,,
GAPI,0.492286847486185,,,,
NMSOR,0.5245758512078009,,,,
