Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.663936930044718,0.6525115881853087,0.6391090586436422,0.656021134697214,0.656021134697214
GAPI,0.6672037380598727,0.6364315270988992,0.6331418334763796,0.6562921459831654,0.6562921459831654
NMSOR,0.6355826841416601,0.6157350087822292,0.6441455594791216,0.6584861341546416,0.6584861341546416
COMPASSEX.csv,,,,0.656141975124291,0.656141975124291
COMPASSEX,,,0.6425812309822094,,nan
BTN,,,,0.656021134697214,
GAPI,,,,0.6562921459831654,
NMSOR,,,,0.6584861341546416,
COMPASSEX.csv,,,,0.656141975124291,
BTN,,,0.6391090586436422,,
GAPI,,,0.6331418334763796,,
NMSOR,,,0.6441455594791216,,
COMPASSEX,,,0.6425812309822094,,
BTN,0.663936930044718,,,,
GAPI,0.6672037380598727,,,,
NMSOR,0.6355826841416601,,,,
BTN,,0.6525115881853087,,,
GAPI,,0.6364315270988992,,,
NMSOR,,0.6157350087822292,,,
