Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.5697991769877327,0.4586164890158885,0.5066394884228548,0.4991808191713239,0.4991808191713239
BTN,,,,,0.4991808191713239
GAPI,0.5121396116416574,0.4198188581806842,0.4801954362035744,0.4931201253020562,0.4931201253020562
NMSOR,0.5254733244290453,0.4178578663004312,0.4786147210571426,0.4999575883214038,0.4999575883214038
NBAWNBA.csv,,,,0.4555207937379574,0.4555207937379574
NBAWNBA,,,0.4555207937379574,,0.1317055120742509
BTN,,,,0.4936466482803481,
BTN,,,,0.4991808191713239,
GAPI,,,,0.4931201253020562,
NMSOR,,,,0.4999575883214038,
NBAWNBA.csv,,,,0.4555207937379574,
BTN,,,0.4555207937379574,,
BTN,,,0.5066394884228548,,
GAPI,,,0.4801954362035744,,
NMSOR,,,0.4786147210571426,,
NBAWNBA,,,0.4555207937379574,,
BTN,0.4999575883214038,,,,
BTN,0.5697991769877327,,,,
GAPI,0.5121396116416574,,,,
NMSOR,0.5254733244290453,,,,
BTN,,0.4433927415470927,,,
BTN,,0.4586164890158885,,,
GAPI,,0.4198188581806842,,,
NMSOR,,0.4178578663004312,,,
BTN,,0.4433927415470927,,,
BTN,,0.4586164890158885,,,
GAPI,,0.4198188581806842,,,
NMSOR,,0.4178578663004312,,,
