Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.873,0.916,0.980,0.908,0.907
BTN,,,,,0.907
GAPI,0.872,0.923,0.980,0.937,0.936
NMSOR,0.881,0.895,0.980,0.893,0.892
NBAWNBA.csv,,,,0.980,0.980
NBAWNBA,,,0.980,,0.980
BTN,,,,0.937,
BTN,,,,0.908,
GAPI,,,,0.937,
NMSOR,,,,0.893,
NBAWNBA.csv,,,,0.980,
BTN,,,0.980,,
BTN,,,0.980,,
GAPI,,,0.980,,
NMSOR,,,0.980,,
NBAWNBA,,,0.980,,
BTN,0.877,,,,
BTN,0.873,,,,
GAPI,0.872,,,,
NMSOR,0.881,,,,
BTN,,0.909,,,
BTN,,0.916,,,
GAPI,,0.922,,,
NMSOR,,0.894,,,
BTN,,0.909,,,
BTN,,0.916,,,
GAPI,,0.923,,,
NMSOR,,0.895,,,
