Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.4193391186000646,0.3701498535948844,0.3848488538468059,0.402883202589436,0.401840231478463
BTN,,,,,0.401840231478463
GAPI,0.4129399469431746,0.3676718857683059,0.3760748172152294,0.3882931885541191,0.3866531804610441
NMSOR,0.4095790912497357,0.369492011524897,0.3783119862759176,0.4104744046570674,0.4070605542268902
NBAWNBA.csv,,,,0.3756352757517046,0.3748743551225851
NBAWNBA,,,0.3756330271580304,,0.1918317236985555
BTN,,,,0.3914092871486617,
BTN,,,,0.402883202589436,
GAPI,,,,0.3882931885541191,
NMSOR,,,,0.4104744046570674,
NBAWNBA.csv,,,,0.3756352757517046,
BTN,,,0.3755830956338974,,
BTN,,,0.3848488538468059,,
GAPI,,,0.3760748172152294,,
NMSOR,,,0.3783119862759176,,
NBAWNBA,,,0.3756330271580304,,
BTN,0.4074211096266828,,,,
BTN,0.4193391186000646,,,,
GAPI,0.4129399469431746,,,,
NMSOR,0.4095790912497357,,,,
BTN,,0.3689332871610441,,,
BTN,,0.3701377665425347,,,
GAPI,,0.3676790694218522,,,
NMSOR,,0.3694886564631618,,,
BTN,,0.3689290745598164,,,
BTN,,0.3701498535948844,,,
GAPI,,0.3676718857683059,,,
NMSOR,,0.369492011524897,,,
