Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.6636471368725892,0.7489369438942913,0.688342132803046,0.7480296790135674,0.7480296790135674
GAPI,0.7076993384246907,0.7028513942280461,0.6896701440913813,0.7559406580563951,0.7559406580563951
NMSOR,0.6882021243638653,0.5499788141253698,0.6908040307369763,0.730823993680054,0.730823993680054
COMPASSEX.csv,,,,0.7553771650784916,0.7553771650784916
COMPASSEX,,,0.7682103917442227,,nan
BTN,,,,0.7480296790135674,
GAPI,,,,0.7559406580563951,
NMSOR,,,,0.730823993680054,
COMPASSEX.csv,,,,0.7553771650784916,
BTN,,,0.688342132803046,,
GAPI,,,0.6896701440913813,,
NMSOR,,,0.6908040307369763,,
COMPASSEX,,,0.7682103917442227,,
BTN,0.6636471368725892,,,,
GAPI,0.7076993384246907,,,,
NMSOR,0.6882021243638653,,,,
BTN,,0.7489369438942913,,,
GAPI,,0.7028513942280461,,,
NMSOR,,0.5499788141253698,,,
