Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.4903002397453201,0.3978484721487551,0.4371661100240246,0.465838599186097,0.4642782424103202
BTN,,,,,0.4642782424103202
GAPI,0.4759313664534964,0.3859885779908678,0.435482001781245,0.4451782273084831,0.4365540945451406
NMSOR,0.4868058140309392,0.3861955189294965,0.4359489127979407,0.4637966236836227,0.462608046800819
NBAWNBA.csv,,,,0.4344870762819391,0.4259968480878157
NBAWNBA,,,0.4344870762819391,,0.1740049151697877
BTN,,,,0.4514984666344968,
BTN,,,,0.465838599186097,
GAPI,,,,0.4451782273084831,
NMSOR,,,,0.4637966236836227,
NBAWNBA.csv,,,,0.4344870762819391,
BTN,,,0.4344067139813753,,
BTN,,,0.4371661100240246,,
GAPI,,,0.435482001781245,,
NMSOR,,,0.4359489127979407,,
NBAWNBA,,,0.4344870762819391,,
BTN,0.4663178743284558,,,,
BTN,0.4903002397453201,,,,
GAPI,0.4759313664534964,,,,
NMSOR,0.4868058140309392,,,,
BTN,,0.3958975475862047,,,
BTN,,0.39782373666531,,,
GAPI,,0.3859885779908678,,,
NMSOR,,0.3861955189294965,,,
BTN,,0.3958975475862047,,,
BTN,,0.3978484721487551,,,
GAPI,,0.3859885779908678,,,
NMSOR,,0.3861955189294965,,,
