iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
0,21061.582908240314,0.0,21061.58290822897,21061.58290822897,"[0.0043807  0.00549687 0.00585917 0.00952005 0.00677    0.00220594
 0.00917769 0.00556535]"
1,21061.52188075785,0.0,21061.521880758442,21061.521880758442,"[0.00396385 0.00484255 0.00585918 0.00952006 0.00677001 0.00220594
 0.0091777  0.00556536]"
2,21061.461964790164,0.0,21061.461964791084,21061.461964791084,"[0.00354806 0.00419595 0.0058592  0.00952007 0.00677001 0.00220595
 0.0091777  0.00556536]"
3,21061.403135822187,0.0,21061.403135824323,21061.403135824323,"[0.00313333 0.00355697 0.00585922 0.00952008 0.00677002 0.00220595
 0.00917771 0.00556536]"
4,21061.345369941446,0.0,21061.345369936116,21061.345369936116,"[0.00271968 0.00292552 0.00585924 0.00952009 0.00677003 0.00220596
 0.00917771 0.00556537]"
5,21061.28864382251,0.0,21061.288643814936,21061.288643814936,"[0.00230711 0.00230151 0.00585925 0.00952009 0.00677003 0.00220596
 0.00917772 0.00556537]"
6,21061.232934711792,0.0,21061.232934710533,21061.232934710533,"[0.00189563 0.00168484 0.00585927 0.0095201  0.00677004 0.00220597
 0.00917772 0.00556537]"
7,21061.17822041272,0.0,21061.17822041521,21061.17822041521,"[0.00148524 0.00107542 0.00585929 0.00952011 0.00677004 0.00220597
 0.00917773 0.00556538]"
8,21061.12447927145,0.0,21061.124479280956,21061.124479280956,"[0.00107595 0.00047315 0.00585931 0.00952012 0.00677005 0.00220598
 0.00917773 0.00556538]"
9,21061.071690162746,0.0,21061.071690159344,21061.071690159344,"[ 0.00066777 -0.00012206  0.00585932  0.00952013  0.00677006  0.00220598
  0.00917774  0.00556538]"
10,21061.01983247645,0.0,21061.019832484468,21061.019832484468,"[ 0.00026071 -0.00071029  0.00585934  0.00952014  0.00677006  0.00220598
  0.00917774  0.00556539]"
11,21060.968886104103,0.0,21060.968886107035,21060.968886107035,"[-0.00014523 -0.00129164  0.00585936  0.00952015  0.00677007  0.00220599
  0.00917774  0.00556539]"
12,21060.918831426083,0.0,21060.918831424297,21060.918831424297,"[-0.00055004 -0.00186619  0.00585938  0.00952016  0.00677007  0.00220599
  0.00917775  0.00556539]"
13,21060.86964929905,0.0,21060.86964929103,21060.86964929103,"[-0.00095372 -0.00243402  0.00585939  0.00952016  0.00677008  0.002206
  0.00917775  0.0055654 ]"
14,21060.8213222201,0.0002226133088289149,21172.127976634532,21060.821322220076,"[ 0.00010434 -0.00425627  0.00596618  0.00962695  0.00687687  0.00231279
  0.00928454  0.00567219]"
15,21060.76441235435,0.0,21060.76441235845,21060.76441235845,"[-0.00030689 -0.00479216  0.00596619  0.00962696  0.00687687  0.00231279
  0.00928455  0.00567219]"
16,21060.718975238276,0.0,21060.718975247764,21060.718975247764,"[-0.00071689 -0.00532185  0.00596621  0.00962697  0.00687688  0.0023128
  0.00928455  0.00567219]"
17,21060.674296284604,0.0,21060.674296290148,21060.674296290148,"[-0.00112564 -0.00584541  0.00596623  0.00962698  0.00687689  0.0023128
  0.00928455  0.0056722 ]"
18,21060.63035976977,0.0,21060.63035977738,21060.63035977738,"[-0.00153315 -0.00636293  0.00596625  0.00962699  0.00687689  0.00231281
  0.00928456  0.0056722 ]"
19,21060.58715034437,0.0,21060.587150351726,21060.587150351726,"[-0.00193942 -0.00687448  0.00596626  0.009627    0.0068769   0.00231281
  0.00928456  0.0056722 ]"
20,21060.544653023695,0.0,21060.544653015404,21060.544653015404,"[-0.00234443 -0.00738014  0.00596628  0.009627    0.0068769   0.00231281
  0.00928457  0.00567221]"
21,21060.502853178303,0.0,21060.502853178983,21060.502853178983,"[-0.00274819 -0.00787998  0.0059663   0.00962701  0.00687691  0.00231282
  0.00928457  0.00567221]"
22,21060.461737818114,0.00023337729310399328,21177.15038436747,21060.461737815473,"[-0.00161947 -0.00969437  0.00607825  0.00973897  0.00698886  0.00242478
  0.00939653  0.00578417]"
23,21060.420327176806,0.0,21060.420327182965,21060.420327182965,"[-0.00203102 -0.01016314  0.00607827  0.00973898  0.00698887  0.00242478
  0.00939653  0.00578417]"
24,21060.381569069228,0.0,21060.381569074416,21060.381569074416,"[-0.00244121 -0.01062657  0.00607828  0.00973899  0.00698888  0.00242478
  0.00939654  0.00578417]"
25,21060.34341619315,0.0,21060.343416186122,21060.343416186122,"[-0.00285004 -0.01108474  0.0060783   0.00973899  0.00698888  0.00242479
  0.00939654  0.00578418]"
26,21060.30585664267,0.0,21060.305856632916,21060.305856632916,"[-0.00325752 -0.01153771  0.00607832  0.009739    0.00698889  0.00242479
  0.00939655  0.00578418]"
27,21060.26887878686,0.0,21060.26887878847,21060.26887878847,"[-0.00366363 -0.01198555  0.00607833  0.00973901  0.00698889  0.0024248
  0.00939655  0.00578418]"
28,21060.23247126286,0.0,21060.232471261847,21060.232471261847,"[-0.00406839 -0.01242831  0.00607835  0.00973902  0.0069889   0.0024248
  0.00939655  0.00578418]"
29,21060.196622969204,0.0,21060.19662297379,21060.19662297379,"[-0.00447178 -0.01286607  0.00607837  0.00973903  0.00698891  0.00242481
  0.00939656  0.00578419]"
30,21060.161326183537,0.00036276800015981413,21241.54532625654,21060.161326176632,"[-0.00249377 -0.01534931  0.00625246  0.00991313  0.00716301  0.00259892
  0.00957067  0.0059583 ]"
31,21060.139207876204,0.0,21060.139207873217,21060.139207873217,"[-0.00291044 -0.01574675  0.00625248  0.00991314  0.00716302  0.00259892
  0.00957067  0.0059583 ]"
32,21060.106169729337,0.0,21060.106169732255,21060.106169732255,"[-0.00332561 -0.01613978  0.0062525   0.00991315  0.00716303  0.00259893
  0.00957068  0.00595831]"
33,21060.07360245315,0.0,21060.073602450593,21060.073602450593,"[-0.00373928 -0.01652846  0.00625251  0.00991316  0.00716303  0.00259893
  0.00957068  0.00595831]"
34,21060.041497530518,0.0,21060.041497534727,21060.041497534727,"[-0.00415144 -0.01691285  0.00625253  0.00991317  0.00716304  0.00259894
  0.00957069  0.00595831]"
35,21060.00984663116,0.0,21060.009846638382,21060.009846638382,"[-0.0045621  -0.017293    0.00625255  0.00991318  0.00716304  0.00259894
  0.00957069  0.00595832]"
36,21059.978641606853,0.0,21059.978641602793,21059.978641602793,"[-0.00497125 -0.01766896  0.00625256  0.00991319  0.00716305  0.00259894
  0.00957069  0.00595832]"
37,21059.947874487138,0.0,21059.94787448912,21059.94787448912,"[-0.00537891 -0.01804079  0.00625258  0.00991319  0.00716306  0.00259895
  0.0095707   0.00595832]"
38,21059.91753747494,0.0,21059.917537474354,21059.917537474354,"[-0.00578506 -0.01840852  0.0062526   0.0099132   0.00716306  0.00259895
  0.0095707   0.00595833]"
39,21059.887622942333,0.0,21059.88762294976,21059.88762294976,"[-0.00618972 -0.01877222  0.00625261  0.00991321  0.00716307  0.00259896
  0.00957071  0.00595833]"
40,21059.85812349309,5.29791840608738e-05,21086.347715522483,21059.858123492046,"[-0.00624525 -0.01943075  0.00627802  0.00993861  0.00718847  0.00262436
  0.00959611  0.00598373]"
41,21059.832470121284,0.0,21059.832470117122,21059.832470117122,"[-0.00664924 -0.01978208  0.00627804  0.00993862  0.00718847  0.00262436
  0.00959611  0.00598373]"
42,21059.803904788037,0.0002396161385189192,21179.611974049556,21059.803904790097,"[-0.00547958 -0.0214813   0.00639299  0.01005357  0.00730343  0.00273932
  0.00971106  0.00609869]"
43,21059.79448838879,0.0,21059.79448838786,21059.79448838786,"[-0.0058911  -0.02180494  0.006393    0.01005358  0.00730343  0.00273932
  0.00971107  0.00609869]"
44,21059.767168093553,0.0,21059.767168100243,21059.767168100243,"[-0.00630103 -0.02212511  0.00639302  0.01005359  0.00730344  0.00273932
  0.00971107  0.00609869]"
45,21059.740200794695,0.0,21059.740200803404,21059.740200803404,"[-0.00670935 -0.02244187  0.00639304  0.0100536   0.00730344  0.00273933
  0.00971108  0.00609869]"
46,21059.71358076438,0.0,21059.7135807598,21059.7135807598,"[-0.00711607 -0.02275525  0.00639305  0.01005361  0.00730345  0.00273933
  0.00971108  0.0060987 ]"
47,21059.687302390776,0.0,21059.68730239274,21059.68730239274,"[-0.0075212  -0.0230653   0.00639307  0.01005361  0.00730345  0.00273934
  0.00971109  0.0060987 ]"
48,21059.661360175574,0.0,21059.66136016977,21059.66136016977,"[-0.00792473 -0.02337205  0.00639309  0.01005362  0.00730346  0.00273934
  0.00971109  0.0060987 ]"
49,21059.635752296013,0.00038750832827520347,21253.389916439737,21059.635752302136,"[-0.00578433 -0.02586035  0.00657907  0.01023962  0.00748946  0.00292534
  0.00989709  0.00628471]"
50,21059.65235558363,0.0,21059.65235558868,21059.65235558868,"[-0.00620176 -0.02612818  0.00657909  0.01023963  0.00748947  0.00292535
  0.0098971   0.00628471]"
51,21059.62783018613,0.0,21059.62783018496,21059.62783018496,"[-0.00661746 -0.02639328  0.00657911  0.01023964  0.00748947  0.00292535
  0.0098971   0.00628471]"
52,21059.603593459804,0.0,21059.603593455362,21059.603593455362,"[-0.00703143 -0.02665568  0.00657912  0.01023964  0.00748948  0.00292536
  0.0098971   0.00628472]"
53,21059.579641280965,0.0,21059.579641282213,21059.579641282213,"[-0.00744368 -0.02691542  0.00657914  0.01023965  0.00748948  0.00292536
  0.00989711  0.00628472]"
54,21059.55596960058,0.0,21059.555969597735,21059.555969597735,"[-0.00785422 -0.02717252  0.00657915  0.01023966  0.00748949  0.00292537
  0.00989711  0.00628472]"
55,21059.53257444261,0.0,21059.53257444871,21059.53257444871,"[-0.00826303 -0.02742702  0.00657917  0.01023967  0.00748949  0.00292537
  0.00989712  0.00628473]"
56,21059.50945190247,0.0,21059.50945190154,21059.50945190154,"[-0.00867014 -0.02767895  0.00657919  0.01023968  0.0074895   0.00292538
  0.00989712  0.00628473]"
57,21059.486598145413,0.0,21059.486598146537,21059.486598146537,"[-0.00907555 -0.02792833  0.0065792   0.01023969  0.00748951  0.00292538
  0.00989713  0.00628473]"
58,21059.464009405016,0.0,21059.464009403062,21059.464009403062,"[-0.00947925 -0.02817521  0.00657922  0.01023969  0.00748951  0.00292538
  0.00989713  0.00628474]"
59,21059.441685207305,0.0003686023363223519,21243.742853374588,21059.441685213413,"[-0.00746294 -0.03049528  0.00675612  0.0104166   0.00766642  0.0031023
  0.01007404  0.00646165]"
60,21059.471364901656,0.0,21059.471364898633,21059.471364898633,"[-0.0078795  -0.0307064   0.00675614  0.01041661  0.00766643  0.0031023
  0.01007405  0.00646166]"
61,21059.44961509385,0.0,21059.44961509913,21059.44961509913,"[-0.00829423 -0.03091552  0.00675615  0.01041662  0.00766644  0.00310231
  0.01007405  0.00646166]"
62,21059.428100307297,0.0,21059.428100304653,21059.428100304653,"[-0.00870714 -0.03112266  0.00675617  0.01041663  0.00766644  0.00310231
  0.01007406  0.00646166]"
63,21059.406817640705,0.0,21059.406817637417,21059.406817637417,"[-0.00911824 -0.03132784  0.00675618  0.01041664  0.00766645  0.00310232
  0.01007406  0.00646166]"
