q_id,doc_id,InferredGender,Gender,Full Name,Age,5K,10K,15K,20K,Half,30K,Official Time
1,1,1,0,Galen Rupp,30,0.001082251,0.000547345,0.000364431,0.000272109,0.000258065,0.000179179,0.000128238
1,2,1,0,Suguru Osako,25,0.001081081,0.000546747,0.000364431,0.000272035,0.000257998,0.000179179,0.000127747
1,3,0,0,Rachid Kisri,41,0.001082251,0.000546747,0.000362582,0.000268456,0.000254001,0.000174429,0.000120308
1,4,1,1,Edna Kiplagat,37,0.000938086,0.000476644,0.000321027,0.000242131,0.000229727,0.000162338,0.000117481
1,5,1,0,Christopher K. Chipsiya,42,0.001081081,0.00054615,0.000364166,0.000269324,0.000254582,0.000172325,0.000117096
1,6,1,0,Scott Mindel,30,0.001002004,0.000498504,0.000333,0.000250188,0.000237248,0.000166417,0.000116932
1,7,1,0,Eric Ashe,28,0.001003009,0.000498256,0.000331785,0.000249252,0.000236407,0.000166279,0.000116198
1,8,1,0,Zachary Ornelas,25,0.000970874,0.000482393,0.000319795,0.000239808,0.000227376,0.000160411,0.000115207
1,9,1,1,Desiree Linden,33,0.000938967,0.000476872,0.00032113,0.000242189,0.000229727,0.000162075,0.000114863
1,10,1,0,Eric Loeffler,40,0.001002004,0.000498256,0.000331675,0.00024728,0.000234247,0.000163026,0.000114155
1,11,0,0,Jonathan B. Kotter,32,0.001052632,0.000520833,0.000342466,0.000253357,0.000239808,0.00016592,0.000113404
1,12,1,0,Michael R. Wardian,43,0.001003009,0.000498008,0.000330688,0.000245761,0.000232721,0.000161447,0.000112931
1,13,0,0,Patrick Reaves,32,0.000957854,0.000478698,0.000318878,0.00023912,0.00022686,0.000158957,0.000112259
1,14,0,0,Jonnathan Varela,37,0.000990099,0.00048852,0.000322581,0.000240096,0.000227428,0.000157853,0.00011212
1,15,1,0,Daniel Bishop,26,0.000958773,0.000481232,0.000319795,0.000239177,0.000226809,0.000158907,0.000112045
1,16,0,0,Samuel R. Gray,21,0.000960615,0.000478011,0.000315657,0.000235183,0.000222965,0.000155885,0.000110254
1,17,0,0,Peter Gilmore,27,0.000978474,0.000485909,0.000322373,0.000240327,0.00022779,0.000158881,0.000110217
1,18,0,0,Jason Thomas,22,0.000958773,0.000480077,0.000319898,0.000239406,0.000226963,0.000159058,0.000109926
1,19,1,0,Sam D Krieg,40,0.00097371,0.00048852,0.000323311,0.000240964,0.000228519,0.000159236,0.000109099
1,20,1,0,Sean Clark,31,0.00094162,0.000469484,0.0003125,0.000233863,0.000221828,0.000155207,0.000108897
1,21,0,0,William Vanos,45,0.00094162,0.000469484,0.000312598,0.000233863,0.000221828,0.000154727,0.000107759
1,22,1,1,Danna Herrick,30,0.000891266,0.000445236,0.000297619,0.000223314,0.000211864,0.000149656,0.000107608
1,23,0,0,Adam D Roach,33,0.000976563,0.000485909,0.000321234,0.000240269,0.00022779,0.000158328,0.000107354
1,24,1,0,Hiroki Kai,22,0.00105042,0.000520833,0.000344116,0.000254972,0.000241546,0.000165399,0.00010694
1,25,0,0,Holger U. III Freudenberger,40,0.001,0.000491884,0.000323939,0.000239006,0.000226091,0.000153822,0.00010686
1,26,0,0,Nicholas N. Roche,23,0.000967118,0.000481232,0.000319898,0.000239177,0.000226757,0.000155836,0.000106633
1,27,1,1,Dot McMahan,40,0.000921659,0.000457875,0.000304044,0.000228519,0.000216638,0.000151286,0.000106519
1,28,1,0,Brian L Dixon,25,0.000979432,0.000488043,0.000322789,0.000240558,0.000227894,0.000158028,0.000106508
1,29,1,0,Chaiwat Engtrakul,40,0.000914077,0.000454752,0.000301296,0.000225175,0.000213447,0.000149477,0.000106304
1,30,1,0,Abinazer Aghegnehu,31,0.000959693,0.000470146,0.000307503,0.000227842,0.000215936,0.000150015,0.000105798
