iteration,LTR_loss,DpExp,DELTR_Loss,loss_standard
0,5.9998377735146455,0.0,5.9998377735146455,5.9998377735146455
1,5.999837769451607,0.0,5.999837769451607,5.999837769451607
2,5.999837765388618,0.0,5.999837765388618,5.999837765388618
3,5.999837761325682,0.0,5.999837761325682,5.999837761325682
4,5.999837757262796,0.0,5.999837757262796,5.999837757262796
5,5.999837753199961,0.0,5.999837753199961,5.999837753199961
6,5.999837749137178,0.0,5.999837749137178,5.999837749137178
7,5.999837745074445,0.0,5.999837745074445,5.999837745074445
8,5.999837741011763,0.0,5.999837741011763,5.999837741011763
9,5.9998377369491305,0.0,5.9998377369491305,5.9998377369491305
10,5.999837732886551,0.0,5.999837732886551,5.999837732886551
11,5.999837728824021,0.0,5.999837728824021,5.999837728824021
12,5.999837724761542,0.0,5.999837724761542,5.999837724761542
13,5.999837720699114,0.0,5.999837720699114,5.999837720699114
14,5.999837716636737,0.0,5.999837716636737,5.999837716636737
15,5.9998377125744105,0.0,5.9998377125744105,5.9998377125744105
16,5.9998377085121355,0.0,5.9998377085121355,5.9998377085121355
17,5.999837704449912,0.0,5.999837704449912,5.999837704449912
18,5.999837700387737,0.0,5.999837700387737,5.999837700387737
19,5.999837696325615,0.0,5.999837696325615,5.999837696325615
20,5.999837692263543,0.0,5.999837692263543,5.999837692263543
21,5.999837688201523,0.0,5.999837688201523,5.999837688201523
22,5.999837684139551,0.0,5.999837684139551,5.999837684139551
23,5.999837680077632,0.0,5.999837680077632,5.999837680077632
24,5.999837676015763,0.0,5.999837676015763,5.999837676015763
25,5.999837671953945,0.0,5.999837671953945,5.999837671953945
26,5.999837667892178,0.0,5.999837667892178,5.999837667892178
27,5.999837663830463,0.0,5.999837663830463,5.999837663830463
28,5.999837659768796,0.0,5.999837659768796,5.999837659768796
29,5.999837655707182,0.0,5.999837655707182,5.999837655707182
30,5.99983765164562,0.0,5.99983765164562,5.99983765164562
31,5.999837647584106,0.0,5.999837647584106,5.999837647584106
32,5.999837643522644,0.0,5.999837643522644,5.999837643522644
33,5.999837639461234,0.0,5.999837639461234,5.999837639461234
34,5.9998376353998735,0.0,5.9998376353998735,5.9998376353998735
35,5.999837631338565,0.0,5.999837631338565,5.999837631338565
36,5.999837627277305,0.0,5.999837627277305,5.999837627277305
37,5.999837623216099,0.0,5.999837623216099,5.999837623216099
38,5.999837619154941,0.0,5.999837619154941,5.999837619154941
39,5.999837615093837,0.0,5.999837615093837,5.999837615093837
40,5.999837611032779,0.0,5.999837611032779,5.999837611032779
41,5.999837606971776,0.0,5.999837606971776,5.999837606971776
42,5.999837602910822,0.0,5.999837602910822,5.999837602910822
43,5.999837598849919,0.0,5.999837598849919,5.999837598849919
44,5.999837594789069,0.0,5.999837594789069,5.999837594789069
45,5.999837590728267,0.0,5.999837590728267,5.999837590728267
46,5.999837586667516,0.0,5.999837586667516,5.999837586667516
47,5.999837582606817,0.0,5.999837582606817,5.999837582606817
48,5.999837578546169,0.0,5.999837578546169,5.999837578546169
49,5.999837574485571,0.0,5.999837574485571,5.999837574485571
50,5.999837570425025,0.0,5.999837570425025,5.999837570425025
51,5.999837566364528,0.0,5.999837566364528,5.999837566364528
52,5.999837562304083,0.0,5.999837562304083,5.999837562304083
53,5.999837558243688,0.0,5.999837558243688,5.999837558243688
54,5.999837554183346,0.0,5.999837554183346,5.999837554183346
55,5.999837550123052,0.0,5.999837550123052,5.999837550123052
56,5.99983754606281,0.0,5.99983754606281,5.99983754606281
57,5.999837542002618,0.0,5.999837542002618,5.999837542002618
58,5.9998375379424775,0.0,5.9998375379424775,5.9998375379424775
59,5.99983753388239,0.0,5.99983753388239,5.99983753388239
60,5.999837529822352,0.0,5.999837529822352,5.999837529822352
61,5.999837525762364,0.0,5.999837525762364,5.999837525762364
62,5.999837521702426,0.0,5.999837521702426,5.999837521702426
63,5.99983751764254,0.0,5.99983751764254,5.99983751764254
64,5.999837513582704,0.0,5.999837513582704,5.999837513582704
65,5.99983750952292,0.0,5.99983750952292,5.99983750952292
66,5.999837505463186,0.0,5.999837505463186,5.999837505463186
67,5.999837501403503,0.0,5.999837501403503,5.999837501403503
68,5.99983749734387,0.0,5.99983749734387,5.99983749734387
69,5.99983749328429,0.0,5.99983749328429,5.99983749328429
70,5.999837489224759,0.0,5.999837489224759,5.999837489224759
71,5.99983748516528,0.0,5.99983748516528,5.99983748516528
72,5.999837481105851,0.0,5.999837481105851,5.999837481105851
73,5.999837477046473,0.0,5.999837477046473,5.999837477046473
74,5.999837472987146,0.0,5.999837472987146,5.999837472987146
75,5.999837468927869,0.0,5.999837468927869,5.999837468927869
76,5.999837464868644,0.0,5.999837464868644,5.999837464868644
77,5.999837460809467,0.0,5.999837460809467,5.999837460809467
78,5.9998374567503445,0.0,5.9998374567503445,5.9998374567503445
79,5.999837452691271,0.0,5.999837452691271,5.999837452691271
80,5.999837448632248,0.0,5.999837448632248,5.999837448632248
81,5.999837444573277,0.0,5.999837444573277,5.999837444573277
82,5.999837440514357,0.0,5.999837440514357,5.999837440514357
83,5.999837436455487,0.0,5.999837436455487,5.999837436455487
84,5.999837432396668,0.0,5.999837432396668,5.999837432396668
85,5.999837428337896,0.0,5.999837428337896,5.999837428337896
86,5.99983742427918,0.0,5.99983742427918,5.99983742427918
87,5.999837420220514,0.0,5.999837420220514,5.999837420220514
88,5.999837416161899,0.0,5.999837416161899,5.999837416161899
89,5.999837412103333,0.0,5.999837412103333,5.999837412103333
90,5.999837408044819,0.0,5.999837408044819,5.999837408044819
91,5.999837403986356,0.0,5.999837403986356,5.999837403986356
92,5.999837399927942,0.0,5.999837399927942,5.999837399927942
93,5.999837395869579,0.0,5.999837395869579,5.999837395869579
94,5.999837391811268,0.0,5.999837391811268,5.999837391811268
95,5.999837387753009,0.0,5.999837387753009,5.999837387753009
96,5.999837383694799,0.0,5.999837383694799,5.999837383694799
97,5.99983737963664,0.0,5.99983737963664,5.99983737963664
98,5.99983737557853,0.0,5.99983737557853,5.99983737557853
99,5.999837371520474,0.0,5.999837371520474,5.999837371520474
100,5.999837367462468,0.0,5.999837367462468,5.999837367462468
