Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.155,0.113,0.123,0.120,0.120
GAPI,0.154,0.109,0.120,0.119,0.119
NMSOR,0.150,0.117,0.123,0.126,0.126
COMPASSEX.csv,,,,0.117,0.117
COMPASSEX,,,0.123,,0.128
BTN,,,,0.120,
GAPI,,,,0.119,
NMSOR,,,,0.126,
COMPASSEX.csv,,,,0.117,
BTN,,,0.123,,
GAPI,,,0.120,,
NMSOR,,,0.123,,
COMPASSEX,,,0.123,,
BTN,0.155,,,,
GAPI,0.154,,,,
NMSOR,0.150,,,,
BTN,,0.113,,,
GAPI,,0.109,,,
NMSOR,,0.117,,,
