Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.127,0.126,0.124,0.126,0.126
BTN,,,,,0.126
GAPI,0.127,0.125,0.124,0.125,0.125
NMSOR,0.127,0.126,0.124,0.126,0.126
NBAWNBA.csv,,,,0.124,0.124
NBAWNBA,,,0.124,,0.124
BTN,,,,0.125,
BTN,,,,0.126,
GAPI,,,,0.125,
NMSOR,,,,0.126,
NBAWNBA.csv,,,,0.124,
BTN,,,0.124,,
BTN,,,0.124,,
GAPI,,,0.124,,
NMSOR,,,0.124,,
NBAWNBA,,,0.124,,
BTN,0.127,,,,
BTN,0.127,,,,
GAPI,0.127,,,,
NMSOR,0.127,,,,
BTN,,0.126,,,
BTN,,0.126,,,
GAPI,,0.125,,,
NMSOR,,0.126,,,
BTN,,0.126,,,
BTN,,0.126,,,
GAPI,,0.125,,,
NMSOR,,0.126,,,
