Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.111,0.115,0.121,0.114,0.114
BTN,,,,,0.114
GAPI,0.111,0.116,0.121,0.117,0.117
NMSOR,0.111,0.113,0.121,0.113,0.113
NBAWNBA.csv,,,,0.121,0.121
NBAWNBA,,,0.121,,0.121
BTN,,,,0.117,
BTN,,,,0.114,
GAPI,,,,0.117,
NMSOR,,,,0.113,
NBAWNBA.csv,,,,0.121,
BTN,,,0.121,,
BTN,,,0.121,,
GAPI,,,0.121,,
NMSOR,,,0.121,,
NBAWNBA,,,0.121,,
BTN,0.111,,,,
BTN,0.111,,,,
GAPI,0.111,,,,
NMSOR,0.111,,,,
BTN,,0.114,,,
BTN,,0.115,,,
GAPI,,0.116,,,
NMSOR,,0.113,,,
BTN,,0.114,,,
BTN,,0.115,,,
GAPI,,0.116,,,
NMSOR,,0.113,,,
