iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
0,4879.796024708401,nan,nan,4879.796024708217,[0.00928485 0.00311449 0.00808481]
1,4879.787821875501,nan,nan,4879.787821875272,[0.00928485 0.00336764 0.00821509]
2,4879.779748382127,nan,nan,4879.779748382528,[0.00928485 0.00361889 0.00834413]
3,4879.771802150803,nan,nan,4879.77180215074,[0.00928485 0.00386826 0.00847194]
4,4879.763981138007,nan,nan,4879.763981138347,[0.00928485 0.00411576 0.00859853]
5,4879.756283333595,nan,nan,4879.756283333438,[0.00928485 0.00436142 0.00872391]
6,4879.748706760263,nan,nan,4879.748706760545,[0.00928485 0.00460524 0.00884809]
7,4879.741249472983,nan,nan,4879.741249473278,[0.00928485 0.00484723 0.00897108]
8,4879.733909558479,nan,nan,4879.733909558687,[0.00928485 0.00508743 0.00909289]
9,4879.726685134683,nan,nan,4879.726685134644,[0.00928485 0.00532582 0.00921354]
10,4879.719574350242,nan,nan,4879.719574349736,[0.00928485 0.00556244 0.00933303]
11,4879.712575383975,nan,nan,4879.7125753844,[0.00928485 0.0057973  0.00945138]
12,4879.7056864444,nan,nan,4879.705686444109,[0.00928485 0.0060304  0.00956859]
13,4879.698905769228,nan,nan,4879.698905768819,[0.00928485 0.00626176 0.00968468]
14,4879.692231624877,nan,nan,4879.692231624902,[0.00928485 0.00649141 0.00979964]
15,4879.685662305999,nan,nan,4879.685662305967,[0.00928485 0.00671934 0.00991351]
16,4879.67919613501,nan,nan,4879.679196134412,[0.00928485 0.00694557 0.01002628]
17,4879.672831461636,nan,nan,4879.6728314611455,[0.00928485 0.00717012 0.01013796]
18,4879.666566662451,nan,nan,4879.666566662854,[0.00928485 0.007393   0.01024856]
19,4879.660400140439,nan,nan,4879.660400139917,[0.00928485 0.00761422 0.0103581 ]
20,4879.6543303245535,nan,nan,4879.654330324358,[0.00928485 0.0078338  0.01046659]
21,4879.648355669287,nan,nan,4879.648355669371,[0.00928485 0.00805174 0.01057402]
22,4879.642474654247,nan,nan,4879.642474653689,[0.00928485 0.00826807 0.01068042]
23,4879.636685783752,nan,nan,4879.636685783268,[0.00928485 0.00848279 0.01078579]
24,4879.630987586406,nan,nan,4879.630987586186,[0.00928485 0.00869591 0.01089014]
25,4879.625378614709,nan,nan,4879.625378614693,[0.00928485 0.00890746 0.01099348]
26,4879.619857444656,nan,nan,4879.619857444277,[0.00928485 0.00911743 0.01109581]
27,4879.6144226753495,nan,nan,4879.614422675361,[0.00928485 0.00932585 0.01119716]
28,4879.609072928626,nan,nan,4879.609072928453,[0.00928485 0.00953272 0.01129752]
29,4879.6038068486705,nan,nan,4879.603806848056,[0.00928485 0.00973806 0.01139691]
30,4879.598623101646,nan,nan,4879.5986231014995,[0.00928485 0.00994188 0.01149533]
31,4879.593520375349,nan,nan,4879.593520375296,[0.00928485 0.01014418 0.01159279]
32,4879.588497378823,nan,nan,4879.58849737903,[0.00928485 0.01034499 0.01168931]
33,4879.583552842045,nan,nan,4879.58355284248,[0.00928485 0.01054432 0.01178488]
34,4879.578685515544,nan,nan,4879.5786855154065,[0.00928485 0.01074217 0.01187953]
35,4879.573894170088,nan,nan,4879.57389417052,[0.00928485 0.01093855 0.01197325]
36,4879.569177596344,nan,nan,4879.569177596182,[0.00928485 0.01113349 0.01206605]
37,4879.564534604542,nan,nan,4879.564534604486,[0.00928485 0.01132698 0.01215795]
38,4879.559964024162,nan,nan,4879.559964024227,[0.00928485 0.01151905 0.01224895]
39,4879.555464703617,nan,nan,4879.555464703291,[0.00928485 0.01170969 0.01233906]
40,4879.551035509941,nan,nan,4879.5510355099905,[0.00928485 0.01189893 0.01242829]
41,4879.546675328478,nan,nan,4879.546675328158,[0.00928485 0.01208678 0.01251664]
42,4879.542383062584,nan,nan,4879.542383063206,[0.00928485 0.01227323 0.01260412]
43,4879.538157633334,nan,nan,4879.538157633404,[0.00928485 0.01245832 0.01269075]
44,4879.533997979226,nan,nan,4879.5339979793225,[0.00928485 0.01264203 0.01277653]
45,4879.529903055906,nan,nan,4879.529903055753,[0.00928485 0.0128244  0.01286146]
46,4879.525871835864,nan,nan,4879.525871835309,[0.00928485 0.01300542 0.01294556]
47,4879.521903308183,nan,nan,4879.521903307693,[0.00928485 0.01318511 0.01302882]
48,4879.517996478253,nan,nan,4879.517996478358,[0.00928485 0.01336347 0.01311127]
49,4879.514150367504,nan,nan,4879.5141503674695,[0.00928485 0.01354052 0.01319291]
50,4879.5103640131465,nan,nan,4879.510364013064,[0.00928485 0.01371628 0.01327373]
51,4879.506636467911,nan,nan,4879.506636467595,[0.00928485 0.01389073 0.01335376]
52,4879.5029667998015,nan,nan,4879.502966799584,[0.00928485 0.01406391 0.013433  ]
53,4879.499354091825,nan,nan,4879.4993540917785,[0.00928485 0.01423581 0.01351145]
54,4879.49579744177,nan,nan,4879.49579744161,[0.00928485 0.01440645 0.01358913]
55,4879.492295961949,nan,nan,4879.492295961672,[0.00928485 0.01457584 0.01366603]
56,4879.488848778968,nan,nan,4879.488848778577,[0.00928485 0.01474398 0.01374217]
57,4879.485455033487,nan,nan,4879.485455033065,[0.00928485 0.01491089 0.01381756]
58,4879.482113879996,nan,nan,4879.4821138798925,[0.00928485 0.01507658 0.01389219]
59,4879.478824486592,nan,nan,4879.478824486812,[0.00928485 0.01524105 0.01396609]
60,4879.475586034733,nan,nan,4879.475586034552,[0.00928485 0.01540432 0.01403924]
61,4879.472397719063,nan,nan,4879.472397719495,[0.00928485 0.01556639 0.01411167]
62,4879.46925874715,nan,nan,4879.469258747558,[0.00928485 0.01572727 0.01418337]
63,4879.4661683393115,nan,nan,4879.4661683399045,[0.00928485 0.01588697 0.01425436]
64,4879.463125728381,nan,nan,4879.463125728785,[0.00928485 0.01604551 0.01432464]
65,4879.460130159514,nan,nan,4879.46013015977,[0.00928485 0.01620288 0.01439421]
66,4879.457180889996,nan,nan,4879.45718088984,[0.00928485 0.01635911 0.01446309]
67,4879.454277189033,nan,nan,4879.454277189199,[0.00928485 0.01651419 0.01453127]
68,4879.45141833755,nan,nan,4879.451418337507,[0.00928485 0.01666814 0.01459877]
69,4879.448603628023,nan,nan,4879.448603628436,[0.00928485 0.01682096 0.0146656 ]
70,4879.445832364268,nan,nan,4879.4458323638955,[0.00928485 0.01697267 0.01473175]
71,4879.443103861275,nan,nan,4879.443103861893,[0.00928485 0.01712327 0.01479723]
72,4879.440417445006,nan,nan,4879.440417445194,[0.00928485 0.01727277 0.01486206]
73,4879.4377724522365,nan,nan,4879.437772452458,[0.00928485 0.01742118 0.01492623]
74,4879.435168230362,nan,nan,4879.435168230375,[0.00928485 0.01756851 0.01498975]
75,4879.432604137249,nan,nan,4879.432604137057,[0.00928485 0.01771476 0.01505263]
76,4879.430079541029,nan,nan,4879.430079541164,[0.00928485 0.01785995 0.01511487]
77,4879.427593819965,nan,nan,4879.427593819726,[0.00928485 0.01800408 0.01517649]
78,4879.425146362271,nan,nan,4879.425146362402,[0.00928485 0.01814716 0.01523748]
79,4879.422736565948,nan,nan,4879.422736565939,[0.00928485 0.0182892  0.01529785]
80,4879.420363838635,nan,nan,4879.4203638384715,[0.00928485 0.0184302  0.0153576 ]
81,4879.418027597443,nan,nan,4879.418027597981,[0.00928485 0.01857018 0.01541675]
82,4879.415727268812,nan,nan,4879.41572726897,[0.00928485 0.01870914 0.0154753 ]
83,4879.413462288346,nan,nan,4879.4134622880865,[0.00928485 0.01884709 0.01553324]
84,4879.411232100672,nan,nan,4879.411232100545,[0.00928485 0.01898403 0.0155906 ]
85,4879.409036159297,nan,nan,4879.409036159269,[0.00928485 0.01911999 0.01564737]
86,4879.406873926453,nan,nan,4879.40687392679,[0.00928485 0.01925495 0.01570356]
87,4879.404744872972,nan,nan,4879.404744873056,[0.00928485 0.01938894 0.01575918]
88,4879.402648478124,nan,nan,4879.402648477808,[0.00928485 0.01952195 0.01581422]
89,4879.400584229501,nan,nan,4879.400584229281,[0.00928485 0.01965399 0.0158687 ]
90,4879.398551622875,nan,nan,4879.398551622799,[0.00928485 0.01978508 0.01592262]
91,4879.396550162059,nan,nan,4879.396550162179,[0.00928485 0.01991522 0.01597599]
92,4879.3945793587845,nan,nan,4879.394579359403,[0.00928485 0.02004442 0.01602881]
93,4879.392638732572,nan,nan,4879.392638732367,[0.00928485 0.02017268 0.01608108]
94,4879.3907278106,nan,nan,4879.390727810516,[0.00928485 0.02030001 0.01613281]
95,4879.388846127594,nan,nan,4879.388846128044,[0.00928485 0.02042642 0.01618401]
96,4879.386993225683,nan,nan,4879.3869932259095,[0.00928485 0.02055191 0.01623467]
97,4879.385168654301,nan,nan,4879.385168653898,[0.00928485 0.0206765  0.01628482]
98,4879.383371970059,nan,nan,4879.383371969991,[0.00928485 0.02080018 0.01633444]
99,4879.381602736625,nan,nan,4879.381602736381,[0.00928485 0.02092298 0.01638355]
100,4879.379860524614,nan,nan,4879.379860525196,[0.00928485 0.02104488 0.01643214]
101,4879.378144911487,nan,nan,4879.378144911535,[0.00928485 0.0211659  0.01648023]
102,4879.376455481412,nan,nan,4879.376455481512,[0.00928485 0.02128605 0.01652782]
103,4879.374791825195,nan,nan,4879.3747918252775,[0.00928485 0.02140533 0.01657492]
104,4879.373153540137,nan,nan,4879.373153540031,[0.00928485 0.02152375 0.01662152]
105,4879.371540229943,nan,nan,4879.371540229558,[0.00928485 0.02164132 0.01666763]
106,4879.369951504625,nan,nan,4879.36995150493,[0.00928485 0.02175804 0.01671326]
107,4879.368386980394,nan,nan,4879.368386980589,[0.00928485 0.02187391 0.01675841]
108,4879.366846279554,nan,nan,4879.366846279554,[0.00928485 0.02198895 0.01680309]
109,4879.365329030418,nan,nan,4879.365329030521,[0.00928485 0.02210317 0.0168473 ]
110,4879.363834867196,nan,nan,4879.3638348669465,[0.00928485 0.02221656 0.01689104]
111,4879.362363429914,nan,nan,4879.362363430031,[0.00928485 0.02232913 0.01693432]
112,4879.360914364303,nan,nan,4879.360914364501,[0.00928485 0.0224409  0.01697715]
113,4879.359487321731,nan,nan,4879.359487321811,[0.00928485 0.02255186 0.01701952]
114,4879.358081959084,nan,nan,4879.358081959078,[0.00928485 0.02266202 0.01706144]
115,4879.356697938703,nan,nan,4879.356697938384,[0.00928485 0.02277139 0.01710292]
116,4879.355334928282,nan,nan,4879.3553349284575,[0.00928485 0.02287997 0.01714396]
117,4879.353992600779,nan,nan,4879.353992600547,[0.00928485 0.02298778 0.01718456]
118,4879.352670634344,nan,nan,4879.352670633933,[0.00928485 0.0230948  0.01722473]
119,4879.351368712223,nan,nan,4879.351368712139,[0.00928485 0.02320107 0.01726447]
120,4879.350086522687,nan,nan,4879.35008652288,[0.00928485 0.02330656 0.01730379]
121,4879.348823758938,nan,nan,4879.348823759117,[0.00928485 0.02341131 0.01734268]
122,4879.347580119045,nan,nan,4879.347580119029,[0.00928485 0.0235153  0.01738116]
123,4879.34635530585,nan,nan,4879.346355305963,[0.00928485 0.02361854 0.01741923]
124,4879.345149026906,nan,nan,4879.345149027051,[0.00928485 0.02372105 0.01745689]
125,4879.343960994393,nan,nan,4879.343960993816,[0.00928485 0.02382282 0.01749414]
126,4879.342790925043,nan,nan,4879.342790924638,[0.00928485 0.02392386 0.017531  ]
127,4879.341638540072,nan,nan,4879.341638540058,[0.00928485 0.02402418 0.01756745]
128,4879.340503565104,nan,nan,4879.340503565074,[0.00928485 0.02412378 0.01760351]
129,4879.339385730096,nan,nan,4879.339385730324,[0.00928485 0.02422267 0.01763919]
130,4879.338284769287,nan,nan,4879.338284769358,[0.00928485 0.02432085 0.01767447]
131,4879.3372004211,nan,nan,4879.3372004207995,[0.00928485 0.02441833 0.01770937]
132,4879.336132428103,nan,nan,4879.336132428427,[0.00928485 0.02451512 0.0177439 ]
133,4879.335080536926,nan,nan,4879.335080536592,[0.00928485 0.02461121 0.01777804]
134,4879.334044498199,nan,nan,4879.334044498473,[0.00928485 0.02470661 0.01781182]
135,4879.333024066489,nan,nan,4879.333024066597,[0.00928485 0.02480134 0.01784522]
136,4879.332019000249,nan,nan,4879.33201900022,[0.00928485 0.02489539 0.01787827]
137,4879.331029061721,nan,nan,4879.331029061774,[0.00928485 0.02498877 0.01791094]
138,4879.330054016917,nan,nan,4879.330054016647,[0.00928485 0.02508148 0.01794327]
139,4879.329093635534,nan,nan,4879.329093635111,[0.00928485 0.02517353 0.01797523]
140,4879.328147690898,nan,nan,4879.3281476908305,[0.00928485 0.02526493 0.01800684]
141,4879.327215959916,nan,nan,4879.327215960126,[0.00928485 0.02535567 0.01803811]
142,4879.326298223,nan,nan,4879.326298222824,[0.00928485 0.02544577 0.01806903]
143,4879.325394264035,nan,nan,4879.325394263984,[0.00928485 0.02553523 0.01809961]
144,4879.324503870301,nan,nan,4879.32450387047,[0.00928485 0.02562405 0.01812984]
145,4879.323626832427,nan,nan,4879.323626832141,[0.00928485 0.02571224 0.01815975]
146,4879.322762944349,nan,nan,4879.322762944323,[0.00928485 0.0257998  0.01818932]
147,4879.321912003242,nan,nan,4879.321912003251,[0.00928485 0.02588674 0.01821856]
148,4879.321073809468,nan,nan,4879.321073809151,[0.00928485 0.02597306 0.01824747]
149,4879.32024816654,nan,nan,4879.320248166448,[0.00928485 0.02605877 0.01827607]
150,4879.319434881052,nan,nan,4879.31943488129,[0.00928485 0.02614387 0.01830434]
151,4879.318633762645,nan,nan,4879.31863376243,[0.00928485 0.02622837 0.01833229]
152,4879.317844623951,nan,nan,4879.317844623677,[0.00928485 0.02631226 0.01835993]
153,4879.317067280552,nan,nan,4879.317067280434,[0.00928485 0.02639557 0.01838726]
