doc_id,Gender,judgement,GT_score,InferredGender
107,0,0.3950133011014178,8765.0,1
24,0,0.3463066920333661,17263.0,1
19,0,0.34276105111580657,18135.0,1
13,0,0.3409628208385143,19923.0,0
16,0,0.30758659701452173,18992.0,1
75,0,0.2966219751259877,11098.0,1
196,0,0.2843124549583793,5458.0,1
214,0,0.2835245347544772,4915.0,1
53,0,0.2776151332252112,12925.0,1
47,0,0.27738419109648127,13932.0,1
225,0,0.2668135293098984,4618.0,1
116,0,0.26650107819455787,8290.0,1
93,0,0.2664603237012526,9578.0,1
7,0,0.2659407307369389,26394.0,0
61,0,0.259735832305881,12478.0,1
8,0,0.2565705666591707,26218.0,1
362,0,0.25411004904033896,1953.0,1
105,0,0.2508904440692216,8875.0,1
247,0,0.24926026433701035,4037.0,1
82,0,0.24917875535039977,10061.0,1
58,0,0.24777951774691842,12558.0,1
104,0,0.24534783297970322,8890.0,1
346,0,0.24292806985417675,2099.0,1
5,0,0.24018559716103413,26397.0,1
15,0,0.23919390449060557,19172.0,1
279,0,0.23633942676982278,3300.0,1
128,0,0.2345190594021868,7674.0,1
69,0,0.2316798297019188,11713.0,1
123,0,0.23098700331572902,8138.0,1
37,0,0.22727834442494832,15428.0,1
33,0,0.22697444556884974,15991.0,0
22,0,0.2256295472897754,17658.0,0
11,0,0.22476011809926272,21606.0,0
202,0,0.21731900003794455,5285.0,1
146,0,0.21680277645607762,6636.0,1
240,0,0.21647674050963536,4231.0,1
36,0,0.2161507045631931,15525.0,1
80,0,0.2157703292923438,10457.0,1
18,0,0.21342015351173918,18679.0,1
51,0,0.21318921138300925,13570.0,1
62,0,0.21114645414588534,12417.0,0
54,0,0.21014117664435503,12924.0,0
39,0,0.2082579176930701,15092.0,1
14,0,0.20791326434366625,19364.0,0
12,0,0.20785037276001728,20445.0,1
27,0,0.2070760373872169,16827.0,1
3,0,0.20639679583212886,26931.0,1
43,0,0.20545944248610737,14593.0,1
10,0,0.2039243565716084,23848.0,1
267,0,0.20121931199294496,3563.0,1
155,0,0.20010535584260056,6458.0,1
252,0,0.1993581901320037,3820.0,1
164,0,0.1980404615151329,6226.0,1
55,0,0.1976600862442836,12790.0,1
108,0,0.1976600862442836,8667.0,1
135,0,0.19708952333800966,7205.0,1
78,0,0.19643745144512514,10689.0,1
86,0,0.1964238666140234,9743.0,1
145,0,0.19622009414749697,6774.0,1
201,0,0.19616072225123013,5317.0,0
57,0,0.19453557509087863,12670.0,1
44,0,0.1943318026243522,14508.0,1
49,0,0.19415519982002932,13856.0,1
147,0,0.19271017515138286,6602.0,0
6,0,0.1922940779590881,26395.0,1
26,0,0.19219898414137576,16933.0,1
21,0,0.1916691757284071,17911.0,1
17,0,0.19105282575696805,18715.0,0
166,0,0.18620641043608618,6206.0,1
140,0,0.1842451621855728,6975.0,0
88,0,0.1837068015133622,9654.0,1
87,1,0.18284758777150453,9693.0,0
223,0,0.18268793918073015,4684.0,1
99,0,0.18264718468742486,9032.0,1
126,0,0.18256567570081428,7839.0,1
110,0,0.1814788892126734,8486.0,1
73,0,0.1813837953949611,11344.0,1
56,0,0.18097625046190827,12713.0,1
2,0,0.18079627827513864,26946.0,0
83,0,0.18010682127139557,9988.0,1
96,0,0.17654256295087442,9377.0,0
25,0,0.1739478602104381,17105.0,0
38,0,0.17354031527738528,15213.0,0
59,0,0.1730105068644166,12517.0,0
310,0,0.17240255884728414,2668.0,1
181,0,0.16842220333446822,5887.0,1
203,0,0.16759352863726082,5263.0,1
241,0,0.16733541684632736,4219.0,1
153,0,0.1663844786692041,6478.0,1
103,0,0.1657324067763196,8894.0,1
179,0,0.1657324067763196,5919.0,1
114,0,0.16509391971453682,8320.0,1
119,0,0.16472712927478927,8208.0,1
89,0,0.1644146781594488,9637.0,1
41,0,0.162472047311897,14979.0,1
109,0,0.16188789957452127,8620.0,1
52,0,0.15991809906476595,13198.0,1
113,0,0.15919307044451284,8356.0,0
48,0,0.15638604297830816,13859.0,1
363,0,0.15529759330075424,1948.0,1
272,0,0.15273006022252145,3458.0,1
4,0,0.15180795489701476,26710.0,1
341,0,0.15149384059226123,2185.0,1
186,0,0.1509504473481908,5757.0,1
9,0,0.150322175735063,26126.0,0
157,0,0.15027120579310274,6424.0,1
180,0,0.1502168664686957,5904.0,1
142,0,0.15001309400216928,6901.0,1
235,0,0.1497957367045411,4371.0,1
187,0,0.1497685670423376,5710.0,1
130,0,0.14933385244708125,7615.0,1
200,0,0.14891272268292666,5328.0,1
100,0,0.1481383873101263,8966.0,1
68,0,0.14779876653258228,11775.0,1
174,0,0.14769864014301012,6000.0,0
