q_id,doc_id,Gender,NumSeasons,AvgPER,CareerPoints
1,1,0,20,24.08,38387
1,2,0,19,23.64,36928
1,3,0,16,26.29,33953
1,4,0,20,21.55,33643
1,5,0,33,15.2,31852
1,6,0,19,22.18,30260
1,7,0,21,24.73,29428
1,8,0,14,27.7,28787
1,9,0,17,21.13,28591
1,10,0,21,20.11,28492
1,11,0,23,18.26,27463
1,12,0,20,19.44,27457
1,13,0,16,17.29,27313
1,14,0,19,23.93,26496
1,15,0,19,20.37,26274
1,16,0,18,18.19,25279
1,17,0,20,18.8,25205
1,18,0,14,22.81,25192
1,19,0,17,20.43,24815
1,20,0,16,24.19,23757
1,21,0,19,18.54,23447
1,22,0,21,18.65,23334
1,23,0,14,20.99,23149
1,24,0,20,18.73,22300
1,25,0,13,23.08,21791
1,26,0,15,15.19,21586
1,27,0,14,23.94,21317
1,28,0,18,17.28,21277
1,29,0,18,21.46,21247
1,30,0,11,25.33,20880
1,31,0,14,26.05,20790
1,32,0,10,21.47,20708
1,33,0,14,16.97,20497
1,34,0,16,21.01,20458
1,35,0,21,16.72,20339
1,36,0,20,13.59,20124
1,37,0,16,15.91,20049
1,38,0,21,14.87,20039
1,39,0,15,17.84,19969
1,40,0,20,16.46,19927
1,41,0,15,16.14,19760
1,42,0,19,21.47,19711
1,43,0,15,17.35,19698
1,44,0,14,18.46,19655
1,45,0,20,17.95,19563
1,46,0,23,17.03,19303
1,47,0,21,15.25,19289
1,48,0,14,16.29,19181
1,49,0,10,25.41,19121
1,50,0,17,18.14,18980
1,51,0,25,13.1,18979
1,52,0,17,17.94,18940
1,53,0,13,17.53,18831
1,54,0,13,17.93,18822
1,55,0,18,19.22,18762
1,56,0,19,14.61,18757
1,57,0,17,19.51,18626
1,58,0,16,18.33,18522
1,59,0,10,19.85,18395
1,60,0,17,13.31,18379
1,61,0,11,21.77,18364
1,62,0,12,17.44,18327
1,63,0,15,16.51,18203
1,64,0,13,17.05,17940
1,65,0,15,16.37,17772
1,66,0,12,18.91,17770
1,67,0,17,19.05,17765
1,68,0,13,23.98,17707
1,69,0,18,12.53,17490
1,70,0,18,18.6,17387
1,71,0,22,18.79,17345
1,72,0,13,19.64,17335
1,73,0,14,17.13,17287
1,74,0,13,20.51,17189
1,75,0,18,17.92,17137
1,76,0,14,15.45,17120
1,77,0,19,16.74,17094
1,78,0,14,15.77,16925
1,79,0,19,14.73,16825
1,80,0,18,15.14,16797
1,81,0,17,15.02,16784
1,82,0,20,16.8,16724
1,83,0,15,16.66,16683
1,84,0,16,20.92,16674
1,85,0,24,11.8,16594
1,86,0,18,16.19,16589
1,87,0,13,17.05,16481
1,88,0,15,16.61,16479
1,89,0,14,17.88,16412
1,90,0,14,15.16,16401
1,91,0,19,15.29,16360
1,92,0,20,12.77,16265
1,93,0,18,14.75,16247
1,94,0,13,20.84,16245
1,95,0,23,16.39,16211
1,96,0,19,13.98,16053
1,97,0,14,15.69,16039
1,98,0,14,16.75,16013
1,99,0,32,13.5,15921
1,100,0,13,18.77,15882
1,101,0,14,17.69,15844
1,102,0,11,17.38,15840
1,103,0,16,17.57,15814
1,104,0,15,16.87,15725
1,105,0,14,15.83,15708
1,106,0,12,25.62,15610
1,107,0,17,16.69,15586
1,108,0,14,14.62,15535
1,109,0,18,13.37,15452
1,110,0,12,18.42,15411
1,111,0,14,13.99,15358
1,112,0,14,18.35,15347
1,113,0,29,11.93,15331
1,114,0,14,15.26,15294
1,115,0,11,20.25,15291
1,116,0,18,17.33,15217
1,117,0,9,23.93,15156
1,118,0,9,19.6,15145
1,119,0,11,20.28,15136
1,120,0,14,15.38,15097
1,121,0,12,14.08,15079
1,122,0,18,15.25,15049
1,123,0,16,15.04,14970
1,124,0,15,14.75,14906
1,125,0,16,15.58,14783
1,126,0,21,14.62,14769
1,127,0,17,15.94,14708
1,128,0,9,20.84,14659
1,129,0,12,15.64,14644
1,130,0,16,13.47,14615
1,131,0,12,14.45,14551
1,132,0,13,19.01,14522
1,133,0,13,15.89,14470
1,134,0,16,15.9,14353
1,135,0,15,15.89,14321
1,136,0,14,15.65,14259
1,137,0,15,14.43,14251
1,138,0,18,14.07,14223
1,139,0,20,16.13,14214
1,140,0,15,15.2,14213
1,141,0,13,15.58,14172
1,142,0,15,16.85,14124
1,143,0,11,17.65,14093
1,144,0,13,20.05,14091
1,145,0,26,13.02,14076
1,146,0,17,14.31,14027
1,147,0,13,17.02,14018
1,148,0,13,19.25,13976
1,149,0,18,16.82,13958
1,150,0,13,18.02,13910
1,151,0,11,18.49,13892
1,152,0,13,12.62,13858
1,153,0,15,16.2,13845
1,154,0,17,16.11,13770
1,155,0,14,14.95,13748
1,156,0,9,18.97,13626
1,157,0,8,22.16,13618
1,158,0,18,12.78,13572
1,159,0,14,17.81,13539
1,160,0,11,16.67,13516
