q_id,doc_id,Gender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,115,0,Wilson Chandler,11,13.3,8315
1,116,0,Mike James,20,11.35,8290
1,117,0,Kyrie Irving,6,21.22,8232
1,118,0,Rajon Rondo,13,15.88,8214
1,119,0,Billy Owens,14,13.3,8208
1,120,1,Chris Morris,11,14.83,8184
1,121,1,Eric Gordon,9,15.14,8151
1,122,0,Mark Olberding,11,12.29,8145
1,123,1,Robert Horry,18,13.17,8138
1,124,0,Phil Hubbard,12,13.34,8071
1,125,0,Tyreke Evans,10,16.73,8042
1,126,0,Aaron Brooks,15,12.33,7839
1,127,0,Carl Landry,13,17.24,7787
1,128,0,Bimbo Coles,18,10.57,7674
1,129,0,Matt Harpring,11,14.81,7645
1,130,1,Dave Corzine,13,12.47,7615
1,131,0,George McCloud,14,12.17,7583
1,132,1,Quintin Dailey,10,13.58,7470
1,133,1,Doug Collins,8,14.99,7427
1,134,1,Ray Felix,11,14.95,7316
1,135,1,Muggsy Bogues,16,13.8,7205
1,136,0,Kerry Kittles,8,15.28,7165
1,137,1,Pooh Richardson,10,13.9,7083
1,138,0,Tobias Harris,10,15.97,7024
1,139,0,C.J. Miles,12,12.78,7006
1,140,0,DeShawn Stevenson,17,8.21,6975
1,141,0,Voshon Lenard,13,13.33,6936
1,142,0,James Bailey,13,11.97,6901
1,143,0,Samuel Dalembert,13,15.22,6814
1,144,1,Charlie Villanueva,11,15.44,6808
1,145,0,Ed Pinckney,16,14.44,6774
1,146,0,Aaron McKie,17,11.45,6636
1,147,0,Ben Wallace,18,14.14,6602
1,148,0,Kevin Gamble,12,11.59,6540
1,149,0,Fred Roberts,15,12.37,6529
1,150,0,Terry Catledge,8,13.41,6520
1,151,0,Mario Elie,13,11.82,6502
1,152,1,Jared Dudley,12,12.99,6492
1,153,1,Udonis Haslem,14,12.08,6478
1,154,0,Doug West,12,9.98,6477
1,155,1,Tracy Murray,16,11.58,6458
1,156,0,Dick Garmaker,8,13.89,6446
1,157,0,Billy Paultz,13,11.78,6424
1,158,0,Michael Beasley,9,15.59,6411
1,159,0,Maurice Taylor,11,11.75,6361
1,160,1,Taj Gibson,10,15.16,6333
1,161,1,Al Attles,11,11.05,6328
1,162,0,Darwin Cook,10,13.27,6327
1,163,1,Herm Gilliam,8,13.71,6252
1,164,0,Eddie House,16,13.1,6226
1,165,0,Bill Walton*,10,18.57,6215
1,166,0,Lorenzen Wright,15,9.65,6206
1,167,0,Wali Jones,12,10.83,6195
1,168,0,Enes Kanter,8,19.76,6194
1,169,1,DeWanna Bonner,13,19.56,6184
1,170,0,Otto Moore,13,12.25,6177
1,171,1,Willie Green,12,10.62,6059
1,172,0,Derrick Favors,9,17.33,6012
1,173,1,Seimone Augustus,15,18.39,6005
1,174,0,Eric Snow,15,10.79,6000
1,175,1,Johnny Dawkins,9,15.27,5984
1,176,0,Greg Anthony,13,14.05,5971
1,177,0,Travis Best,12,13.48,5957
1,178,0,Paul Neumann,8,13.94,5953
1,179,1,Eric Piatkowski,14,12.56,5919
1,180,0,Larry Smith,13,11.82,5904
1,181,1,Darrall Imhoff,14,10.58,5887
1,182,1,Lionel Simmons,7,13.31,5833
1,183,0,John Bagley,11,11.33,5802
1,184,0,Rod Thorn,10,14.6,5792
1,185,0,Walter Dukes,8,14.05,5765
1,186,0,Gordan Giricek,13,11.28,5757
1,187,0,Jerryd Bayless,13,12.15,5710
1,188,0,Andray Blatche,9,15.39,5706
1,189,0,Robert Pack,15,13.87,5692
1,190,0,Dave Stallworth,10,13.34,5684
1,191,0,Sam Bowie,10,14.03,5564
1,192,0,Amir Johnson,12,16.64,5559
