Inference Service,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
G-TRUTH,0.296,0.022,-0.002,-0.003,-0.003
GAPI,0.21,0.019,-0.002,-0.002,-0.002
BTN,0.202,0.017,-0.002,-0.0,-0.0
NMSOR,0.13,0.015,-0.002,0.004,0.004
