Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.110,0.119,0.117,0.118,0.118
GAPI,0.110,0.120,0.118,0.118,0.118
NMSOR,0.111,0.118,0.117,0.116,0.116
COMPASSEX.csv,,,,0.118,0.118
COMPASSEX,,,0.117,,0.116
BTN,,,,0.118,
GAPI,,,,0.118,
NMSOR,,,,0.116,
COMPASSEX.csv,,,,0.118,
BTN,,,0.117,,
GAPI,,,0.118,,
NMSOR,,,0.117,,
COMPASSEX,,,0.117,,
BTN,0.110,,,,
GAPI,0.110,,,,
NMSOR,0.111,,,,
BTN,,0.119,,,
GAPI,,0.120,,,
NMSOR,,0.118,,,
