Wrong Inference Percentage,ULTR,FLTR,ULTR + PostF,ULTRH + PostF,LTR + PostF
BTN,0.101,0.095,0.095,0.094,0.094
GAPI,0.101,0.095,0.095,0.094,0.094
NMSOR,0.099,0.094,0.095,0.093,0.093
bostonmarathon.csv,,,,0.094,0.094
BTN,,,,0.094,
GAPI,,,,0.094,
NMSOR,,,,0.093,
bostonmarathon.csv,,,,0.094,
BTN,,,0.095,,
GAPI,,,0.095,,
NMSOR,,,0.095,,
bostonmarathon,,,0.095,,
BTN,,0.095,,,
GAPI,,0.095,,,
NMSOR,,0.094,,,
BTN,0.101,,,,
GAPI,0.101,,,,
NMSOR,0.099,,,,
