q_id,doc_id,Gender,NumSeasons,AvgPER,CareerPoints
1,1,1,19,23.64,36928
1,2,1,16,26.29,33953
1,3,1,17,19.11,26931
1,4,1,14,22.81,26710
1,5,1,16,24.19,23757
1,6,1,14,20.99,23149
1,7,1,13,23.08,21791
1,8,1,20,14.87,21606
1,9,1,18,21.46,21247
1,10,1,14,16.97,20497
1,11,1,16,15.91,20049
1,12,1,21,14.87,20039
1,13,1,20,16.46,19927
1,14,1,15,16.14,19760
1,15,1,19,15.11,19364
1,16,1,18,15.36,18715
1,17,1,12,17.44,18327
1,18,1,18,12.53,17490
1,19,1,14,15.45,17120
1,20,1,16,17.4,16933
1,21,0,17,15.02,16784
1,22,1,20,16.8,16724
1,23,1,18,16.19,16589
1,24,1,15,16.61,16479
1,25,1,17,11.93,15525
1,26,1,29,11.93,15331
1,27,1,11,20.25,15291
1,28,1,9,19.6,15145
1,29,1,16,15.04,14970
1,30,1,17,15.94,14708
1,31,1,16,15.83,14508
1,32,1,14,14.66,14192
1,33,1,15,15.7,13980
1,34,1,13,18.02,13910
1,35,1,11,18.49,13892
1,36,1,17,16.11,13770
1,37,1,12,17.07,13757
1,38,1,9,18.97,13626
1,39,1,14,16.84,13198
1,40,1,22,11.5,12859
1,41,1,12,17.91,12809
1,42,1,15,13.5,12713
1,43,1,16,15.68,12670
1,44,0,15,13.75,12651
1,45,1,17,14.54,12535
1,46,1,12,12.98,12532
1,47,1,20,16.33,12478
1,48,1,17,11.42,12405
1,49,1,10,14.02,12391
1,50,1,15,14.16,12242
1,51,1,13,16.8,12081
1,52,1,12,16.54,11972
1,53,1,11,20.72,11947
1,54,1,11,19.03,11890
1,55,1,23,15.66,11722
1,56,1,13,14.34,11529
1,57,1,10,15.28,11507
1,58,1,11,16.65,11451
1,59,1,14,15.56,11422
1,60,1,11,15.48,11356
1,61,1,12,16.51,11136
1,62,1,11,13.71,10902
1,63,1,12,12.49,10681
1,64,1,15,13.86,10640
1,65,1,12,13.13,10544
1,66,1,17,12.21,10457
1,67,1,9,21.57,10444
1,68,1,18,14.09,10399
1,69,1,11,14.8,10380
1,70,1,15,12.97,10266
1,71,1,12,14.14,10193
1,72,1,9,17.16,10162
1,73,1,15,14.14,9988
1,74,1,10,16.15,9944
1,75,1,10,13.08,9904
1,76,1,16,14.29,9743
1,77,1,16,14.14,9623
1,78,1,9,14.66,9405
1,79,1,12,13.7,9122
1,80,1,16,15.99,9002
1,81,1,12,14.57,8879
1,82,1,19,10.68,8875
1,83,1,16,12.96,8794
1,84,1,14,15.66,8695
1,85,1,14,14.34,8616
1,86,1,10,15.84,8561
1,87,1,16,15.06,8520
1,88,1,14,11.6,8231
1,89,1,13,11.1,8203
1,90,1,6,18.37,8137
1,91,1,15,12.03,8126
1,92,1,6,16.7,7902
1,93,1,14,15.12,7897
1,94,1,19,13.49,7895
1,95,1,14,13.0,7859
1,96,1,12,17.32,7845
1,97,1,13,13.38,7818
1,98,1,11,11.75,7781
1,99,1,12,11.27,7775
1,100,1,12,14.93,7716
1,101,1,8,12.8,7574
1,102,1,11,12.44,7513
1,103,1,13,12.45,7490
1,104,1,8,13.86,7458
1,105,1,15,12.77,7451
1,106,1,10,12.41,7430
1,107,1,15,25.92,7380
1,108,1,11,14.95,7316
1,109,1,16,13.04,7309
1,110,1,15,14.11,7303
1,111,1,12,12.4,6985
1,112,1,10,12.79,6898
1,113,1,11,10.1,6884
1,114,1,10,13.16,6839
1,115,0,16,10.97,6837
1,116,1,14,11.61,6812
1,117,1,13,17.88,6811
1,118,1,7,21.44,6761
1,119,1,10,12.66,6652
1,120,1,9,13.0,6470
1,121,1,11,13.1,6452
1,122,1,10,11.56,6282
1,123,1,13,11.56,6256
1,124,1,6,18.15,6208
1,125,1,8,19.76,6194
1,126,1,13,19.56,6184
1,127,1,6,17.48,6136
1,128,1,8,15.74,6036
1,129,1,9,17.33,6012
1,130,1,17,13.58,5936
1,131,1,11,13.4,5888
1,132,1,12,15.68,5874
1,133,1,11,13.56,5856
1,134,1,13,11.28,5757
1,135,1,7,21.0,5629
1,136,1,13,13.33,5582
1,137,1,12,16.64,5559
1,138,1,16,11.86,5490
1,139,1,9,14.48,5368
1,140,1,14,11.19,5263
1,141,1,15,9.48,5243
1,142,1,18,12.09,5242
1,143,1,12,11.57,5173
1,144,1,16,13.69,5170
1,145,1,9,13.63,5153
1,146,1,8,11.18,5109
1,147,1,12,14.58,5094
1,148,1,13,10.52,4967
1,149,1,9,9.49,4917
1,150,1,13,6.99,4914
1,151,1,6,19.98,4858
1,152,1,8,11.95,4855
1,153,1,9,12.13,4797
1,154,1,8,14.33,4797
1,155,1,7,13.5,4783
1,156,1,10,9.12,4751
1,157,1,14,11.01,4722
1,158,1,11,12.17,4719
1,159,1,11,21.74,4716
1,160,1,15,14.79,4699
1,161,1,13,17.33,4663
1,162,1,9,13.11,4641
1,163,1,14,10.23,4637
1,164,1,7,15.71,4631
1,165,1,12,11.6,4618
1,166,1,10,11.0,4483
1,167,1,13,15.63,4434
1,168,1,8,13.45,4431
1,169,1,6,15.18,4378
1,170,1,13,14.08,4368
1,171,0,10,12.53,4344
1,172,1,18,7.89,4326
1,173,1,7,9.83,4204
1,174,1,5,19.0,4160
1,175,1,4,14.92,4128
1,176,1,10,11.03,4111
1,177,1,13,11.54,4093
1,178,1,6,12.85,4086
1,179,1,5,14.26,4070
1,180,1,16,8.91,4023
1,181,1,9,10.5,3978
1,182,1,15,9.82,3940
1,183,1,8,9.43,3927
1,184,1,11,13.97,3889
1,185,1,10,13.24,3888
1,186,1,9,13.39,3808
1,187,1,12,10.42,3801
1,188,1,8,11.56,3741
1,189,1,13,12.85,3740
1,190,1,14,10.66,3726
1,191,1,6,25.9,3723
1,192,1,11,11.41,3700
1,193,1,4,14.22,3640
1,194,1,9,10.34,3618
1,195,1,15,8.84,3615
1,196,1,10,14.9,3615
1,197,1,12,9.95,3613
1,198,1,9,13.12,3599
1,199,1,7,10.2,3587
1,200,1,11,15.46,3554
1,201,1,11,13.9,3534
1,202,1,13,13.82,3500
1,203,1,5,13.28,3483
1,204,1,12,9.83,3463
1,205,1,15,9.1,3449
1,206,1,11,14.27,3447
1,207,1,9,12.77,3407
1,208,1,8,10.2,3397
1,209,1,12,16.45,3358
1,210,1,13,9.72,3326
1,211,1,8,11.04,3325
1,212,1,12,8.88,3316
1,213,1,8,13.11,3298
