Position,NDCG
1,3.0
2,2.9883944157829636
3,2.9817319681505685
4,2.974715675161669
5,2.9688487515360658
6,2.96250549436317
7,2.9567784006706557
8,2.949853958231953
9,2.9442038306706624
10,2.9369380929480555
11,2.9307525849080025
12,2.9248756755098144
13,2.919241717402057
14,2.914258726822439
15,2.9093853288062674
16,2.9050025599902667
17,2.901034442616357
18,2.89706276292778
19,2.8930869269274626
20,2.8894298889594143
21,2.885743280104452
22,2.882325139175176
23,2.8791450238214598
24,2.875905167629156
25,2.872872816681865
26,2.8697751017245627
27,2.8666178115282452
28,2.863406008604616
29,2.8603716004391155
30,2.857499237214395
31,2.854775354642754
32,2.851980548324872
33,2.8493215390145368
34,2.8465920586913462
35,2.8437970440773483
36,2.840940948078301
37,2.8382088068173514
38,2.8354156165678597
39,2.832737529671301
40,2.8299987989183197
41,2.827367515353161
42,2.82483705061168
43,2.822401329793304
44,2.8200547736310715
45,2.817792247868408
46,2.815461295965248
47,2.813065545866933
48,2.8106083581243606
49,2.8082321304624207
50,2.805932665566143
51,2.8037060613340583
52,2.8015486848209155
53,2.799327681094409
54,2.797173235708672
55,2.7950822097477785
56,2.7930516653167605
57,2.7910788493647583
58,2.7890421274167476
59,2.7870613982152266
60,2.785134239329679
61,2.7832583707507337
62,2.7814316443574922
63,2.7795417950878742
64,2.7774826767992593
65,2.7754750805444646
66,2.7735169778599427
67,2.77160644888262
68,2.7697416750289747
69,2.7678196345147357
70,2.765942348105552
71,2.764108176381612
72,2.762218194150929
73,2.760370464487218
74,2.758563501517141
75,2.7567958904672416
76,2.755066283375879
77,2.7533733951160806
78,2.7517159997030674
79,2.7500036076589662
80,2.748326247723895
81,2.746682792904325
82,2.745072165557677
83,2.7434080257340323
84,2.74177636015967
85,2.7401761725278506
86,2.7386065081454265
87,2.7370664517399774
88,2.735555125406044
89,2.7340716866801626
90,2.7326153267353015
91,2.7311852686860334
92,2.729703248508528
93,2.7282474368523553
94,2.726817105384833
95,2.725411553335662
96,2.7240301061802215
97,2.7226721143986277
98,2.7212638616699776
99,2.7198790524302905
100,2.7185170735917197
101,2.7171773339023377
102,2.715859262964074
103,2.714562310303879
104,2.7132167881319447
105,2.7118924272326046
106,2.7105887049551582
107,2.7093051162306816
108,2.7080411728249922
109,2.706730205946644
110,2.7054389509672925
111,2.7041669425490693
112,2.702913730316746
113,2.701614867665274
114,2.700334872777404
115,2.699073315434393
116,2.6978297787793872
117,2.696541890367811
118,2.695272097641067
119,2.694020001580534
120,2.6927852151522846
121,2.691567362852224
122,2.6903660802720597
123,2.6891218686148455
124,2.68789432168733
125,2.686683089310178
126,2.6854878313271353
127,2.684308217242458
128,2.683086938867776
129,2.6818814057091456
130,2.6806912993744607
131,2.679516310241472
132,2.6783561371524667
133,2.6771555019388975
134,2.6759697880372455
135,2.67479870465954
136,2.673641968736737
137,2.6724993046597105
138,2.671317321003792
139,2.67014951664488
140,2.668995624917016
141,2.6678553859852223
142,2.6667285466242943
143,2.6655634737613085
144,2.664411908779393
145,2.6632736062135507
146,2.662148326674308
147,2.6609857579541827
148,2.6598363164204977
149,2.6586997697923827
150,2.6575758913870238
151,2.656464459949085
152,2.6553167220486684
153,2.6541815350077465
154,2.6530586837979167
155,2.651900299794063
156,2.6507543479572053
157,2.649620619273249
158,2.648498909513993
159,2.6473890190985703
160,2.6462907529597293
161,2.6452039204147635
162,2.644082605132488
163,2.642972825176209
164,2.64187439470716
165,2.640787131963929
166,2.639710859149345
167,2.6386454023211376
168,2.637546391355122
169,2.636458298750145
170,2.6353809546782663
171,2.634314192908834
172,2.6332578507121305
173,2.632211768766133
174,2.631133019498851
175,2.630064632561551
176,2.628964135871173
177,2.6278740951401405
178,2.6267943548807278
179,2.6257247627537734
180,2.624665169488056
181,2.6235742083758193
182,2.622493337730097
183,2.62142241150611
184,2.6203612865373085
185,2.619309822463641
186,2.6182678816619784
187,2.617195349275709
188,2.6161324312443472
189,2.6150789927323963
190,2.614034901479074
191,2.613000027736135
192,2.61197424420751
193,2.6109186123195274
194,2.6098721607200566
195,2.6088347645331353
196,2.60780630119549
197,2.6067485762126084
198,2.605699870329648
199,2.6046600632730827
200,2.603629036952998
201,2.602606675412959
202,2.601555675279938
203,2.6005134237904866
204,2.5994798070720972
205,2.59841803463438
206,2.5973649762556135
207,2.5963205201195594
208,2.5952845563632194
209,2.5942569770336803
210,2.593237676046114
211,2.592226549142897
212,2.5912234938538026
213,2.5901930253439587
214,2.589170708631486
215,2.5881564429186694
216,2.587150129104397
217,2.586151669748041
218,2.5851609690342743
219,2.584143459707675
220,2.58313378765815
221,2.5821318585478656
222,2.5811375795846416
223,2.5801508594899323
224,2.5791378587477314
225,2.578132493109242
226,2.5771346726567788
227,2.5761443089139777
228,2.5751613148165777
229,2.5741856046839113
230,2.573217094191102
231,2.5722557003419255
232,2.5712686865138443
233,2.570288865178162
234,2.5693161544594756
235,2.5683504737508476
236,2.567391743688953
237,2.566439886129811
238,2.565494824125094
239,2.564556481898988
240,2.5636247848255955
241,2.562699659406868
242,2.5617496486516336
243,2.5608062854620606
244,2.5598383546203105
245,2.5588771433388087
246,2.557922578772283
247,2.556974589150104
248,2.5560331037562323
249,2.5550980529096154
250,2.554169367945037
251,2.5532166564198353
252,2.552270381289454
253,2.5513304746645358
254,2.550396869630114
255,2.5494695002279237
256,2.5485185344091317
257,2.547573872429423
258,2.5466354490564482
259,2.5456737576292254
260,2.5447183700773577
261,2.5437692219005483
262,2.5428262494964553
263,2.5418893901448794
264,2.5409296649735587
265,2.539976116094114
266,2.5389999692539926
267,2.538030058924271
268,2.5370663229222896
269,2.5361086999089313
270,2.535157129374149
271,2.534211551622795
272,2.533271907760741
273,2.532338139681282
274,2.531410190051825
275,2.5304880023008463
276,2.5295437894412145
277,2.528605398537955
278,2.5276727735821543
279,2.5267458592979186
280,2.5258246011302403
281,2.5249089452331077
282,2.523998838457853
283,2.52309422834173
284,2.5221680687759385
285,2.521247464885551
286,2.520332364684068
287,2.519422716846724
288,2.5185184706998296
289,2.517619576210336
290,2.5167259839755824
291,2.515837645213255
292,2.5149545117515384
293,2.5140765360194486
294,2.5131775433424166
295,2.512283766610399
296,2.5113951586270886
297,2.5105116727770524
298,2.509607466257559
299,2.508708438083858
300,2.5078145420101907
301,2.5069257323525393
302,2.5060419639799982
303,2.5051631923063056
304,2.504264057168915
305,2.5033699733849497
306,2.5024808967069823
307,2.5015967834147297
308,2.5007175903071093
309,2.4998432746944443
310,2.4989489409673866
311,2.4980595378815686
312,2.4971750230584466
313,2.4962953546148476
314,2.49542049115564
315,2.4945259109217237
316,2.493636187220001
317,2.4927512789521487
318,2.4918711454928206
319,2.490995746682768
320,2.490125042822074
321,2.4892589946635106
322,2.488397563406012
323,2.4875168028048025
324,2.4866407095075056
325,2.4857692449671602
326,2.48490237106972
327,2.484040050127906
328,2.4831586813894364
329,2.4822819145197212
330,2.4814097120748784
331,2.48054203702531
332,2.479678852749908
333,2.4788201230303555
334,2.4779658120455226
335,2.4771158843659618
336,2.4762472719103275
337,2.4753830905542165
338,2.474523305077146
339,2.4736678806392787
340,2.4727940059225744
341,2.4719245385608435
342,2.4710594439226807
343,2.470198687746673
344,2.469319709714349
345,2.468445115048188
