doc_id,Gender,judgement
107,1,0.4094394330419939
13,0,0.394261370333904
19,1,0.366893878472759
24,0,0.3560600818357577
7,1,0.3538884311955313
16,1,0.3395678954109894
75,1,0.3056693641845563
47,0,0.2970496917777928
53,1,0.2963440421884096
8,1,0.2932450400985855
61,0,0.2835734898440977
15,0,0.2789386621773807
214,1,0.2782877144600742
11,1,0.2775132051352771
2,0,0.2770434152694456
5,1,0.2759085198229704
196,0,0.2758802040962961
22,0,0.2748566419752462
87,0,0.2707755865637475
33,1,0.2707472708370733
93,0,0.2630266341532333
116,0,0.2629021077551068
225,1,0.2619474053694707
14,0,0.2615879840384285
104,0,0.2601351760602866
54,1,0.2547805409408492
58,1,0.252705100972075
10,1,0.2519032407112395
62,0,0.2517088897870634
82,1,0.2484296946364002
247,1,0.2481806418401473
37,0,0.2479457469072314
43,1,0.2472127463818099
17,1,0.2457042717409553
1,0,0.2447920429453305
3,1,0.2443486392249015
105,0,0.2431995859150892
27,0,0.2422731992561273
147,1,0.2406401982171463
12,1,0.2399071976917247
39,0,0.2386619337104602
123,1,0.2366138446777244
9,1,0.2353553876237586
69,1,0.2344968959095747
59,1,0.2334318249891493
362,1,0.2333620004630996
38,1,0.2318129818135054
25,0,0.2305677178322409
201,1,0.2300969631757735
128,1,0.2258215568400986
51,1,0.2235942395371596
18,1,0.2228885899477764
96,1,0.2226395371515235
21,1,0.2219480454254774
26,1,0.2203292022498335
279,1,0.2202593777237838
6,1,0.2200386406542052
80,0,0.2157075676558177
36,1,0.2145453212733042
49,0,0.2143519351397639
44,0,0.2138123207478826
240,1,0.2135491100882925
57,0,0.2131896887572503
146,0,0.212552898903281
202,0,0.2109755645270126
4,1,0.2089425981482497
113,1,0.2082501416315678
145,0,0.2080425976346904
173,0,0.2075171411061462
86,0,0.2074199656440581
78,1,0.2073784568446826
135,1,0.2053860344746594
55,0,0.2036426649008891
108,1,0.2036426649008891
164,0,0.2024804185183756
346,0,0.2001276100266742
140,1,0.1991040479056242
252,0,0.1984540649789536
46,0,0.196351274074141
155,1,0.196171081013302
48,1,0.1949541327587117
267,1,0.1927673594645124
83,1,0.1898759013715656
189,1,0.1887551637884275
56,1,0.1872193382115346
30,1,0.1866665307469521
73,1,0.1859740742302701
110,1,0.1856835126346417
52,1,0.1841618449210859
232,0,0.182626019344193
149,0,0.182528843882105
126,0,0.182362808684603
99,1,0.1821137558883501
223,1,0.1819892294902237
88,0,0.1788760695370624
238,0,0.1785581570053956
169,0,0.1785308060693572
109,1,0.1781430690116408
41,1,0.176358190638495
174,1,0.1759704535807785
45,1,0.1751129266572305
40,1,0.1731761709499198
215,0,0.1722356264276208
34,0,0.1721799597649083
254,0,0.1721658019015711
952,0,0.1715611869368193
91,1,0.171377134713437
166,0,0.1712384504519734
20,1,0.1706856429873908
89,1,0.1704224323278008
119,1,0.1694677299421647
127,1,0.168900764614245
114,1,0.1683469923590266
179,1,0.1663960787883789
103,1,0.1663960787883789
131,0,0.164777235612735
23,1,0.1646668670779457
233,0,0.1645008318804438
153,1,0.1644036564183557
239,0,0.1637536734916851
65,1,0.1634216030966812
118,0,0.1632555678991792
35,0,0.1616367247235354
241,0,0.1614980404620718
203,1,0.1607093732739376
143,0,0.1605159871403973
29,1,0.1601008991466425
290,0,0.1588414773020409
181,1,0.1581773365120331
259,1,0.1568632127953547
351,1,0.1564481248015999
236,1,0.1557839840115922
176,1,0.1556594576134657
68,0,0.1537915616415689
32,0,0.1530170523167719
100,0,0.1527538416571819
141,0,0.1526708240584309
31,1,0.1518963147336338
50,1,0.1512736827430016
200,0,0.1503878400927793
60,1,0.1497793659654842
192,0,0.1494888043698558
42,0,0.1494888043698558
130,1,0.1491010673121393
170,1,0.1481878737258787
253,0,0.1481190139904648
237,0,0.1478294171854722
187,1,0.1477727857321238
235,1,0.1476897681333729
28,1,0.1475793995985835
142,1,0.1470256273433651
151,1,0.1464029953527329
180,1,0.1464029953527329
157,1,0.1462369601552309
310,1,0.1460152582950164
63,1,0.1446322748429242
186,0,0.1441615201864567
70,1,0.1435115372597861
94,1,0.1434285196610351
341,1,0.1425011682114374
67,0,0.1424879751387361
272,1,0.1387238674682684
270,0,0.1384474637359771
98,1,0.1372852173534635
66,1,0.1371748488186742
177,1,0.1363720237672029
224,1,0.13612297097095
74,0,0.1358880760380342
124,1,0.1357909005759461
152,0,0.1343380925978042
308,0,0.1343380925978042
139,1,0.1334664078109191
288,0,0.1333003726134171
72,1,0.132608880887371
77,1,0.1312249326446429
102,1,0.1310173886477655
363,0,0.1308787043863019
101,1,0.1304362654565087
90,1,0.1290806329404549
273,1,0.1290664750771178
227,1,0.1287344046821139
148,1,0.1285268606852365
211,0,0.1277938601598149
144,0,0.1275863161629375
300,0,0.1268249999108417
195,1,0.1256212447289526
134,0,0.1255523849935388
167,1,0.1253721919326997
120,1,0.1250542794010329
129,0,0.124971261802282
81,0,0.1249297530029065
171,1,0.1245005071458145
354,0,0.1244589983464391
307,0,0.1242241034135233
165,1,0.1236571380856036
106,0,0.1229373306328833
296,0,0.1227712954353813
255,1,0.1219684703839101
154,1,0.1218439439857836
84,1,0.1214845226547413
271,0,0.1212213119951513
268,0,0.121193961059113
76,1,0.1204052938709788
365,0,0.120253416536814
115,0,0.1187034330965839
217,1,0.118454380300331
97,1,0.1174166603159439
357,1,0.1171119408569785
79,1,0.1168770459240627
125,1,0.1160195190005146
122,0,0.1145110443596601
138,0,0.1128648502479779
403,0,0.112615797451725
159,1,0.112269569193384
64,1,0.1118271302635908
336,0,0.1105403574829508
183,0,0.1105261996196136
353,1,0.1100280940271078
71,1,0.1100007430910695
160,0,0.1095026374985637
161,1,0.1093639532371001
242,0,0.1093092513650234
204,0,0.1081186892558356
373,0,0.1076762503260424
377,0,0.1074818994018662
92,0,0.1073583377943756
184,1,0.1071781447335366
619,1,0.1071639868701995
282,1,0.1069149340739466
228,0,0.1068875831379082
111,0,0.1053932663603908
384,1,0.1051300557008008
191,1,0.104812143169134
137,1,0.1042725287772527
199,1,0.1032763175922411
580,0,0.1032084226474631
234,1,0.1030961245314021
132,1,0.1029442471972373
393,0,0.1027367032003598
190,1,0.1019480360122256
162,0,0.1016574744165973
172,0,0.1015886146811834
285,1,0.1010621933620034
85,1,0.1008688072284631
281,1,0.0992499640528192
298,0,0.0990839288553173
250,1,0.0984754547280221
